,City,Count
4432,richmond,1038
3654,new orleans,1031
1321,denver,1022
5570,wahiawa,1021
4172,plano,1020
5262,tallahassee,1011
3841,oakdale,1006
4481,rochester,1006
1630,escondido,1005
4312,pueblo,984
4489,rockaway,963
2125,griswold,963
2478,indiana,952
2067,grapeview,950
912,chesapeake,919
1391,dripping springs,918
1572,ellington,908
4363,rapid city,902
339,beaverton,891
5996,york,887
1583,elmira,884
3536,muskego,877
5265,tampa,876
1981,glen allen,874
1751,florissant,856
3075,madison,856
1433,dyersburg,855
663,buffalo,852
4351,ramona,838
5268,taneytown,833
2307,hickory,833
5595,wallingford,826
1868,ft huachuca,826
1966,gilbert,812
1237,dallas,811
214,auburn,810
3885,olathe,795
2254,hayward,773
3479,mountain view,758
502,blythewood,758
1125,cordova,753
513,boise,753
3448,mosinee,753
5370,topeka,750
785,carrollton,745
5373,torrance,740
5027,spring,734
3620,new albany,732
1426,durham,732
3725,norfolk,729
1747,florence,723
538,boston,709
1814,fort worth,700
5739,west jordan,693
4187,pleasanton,681
2816,lansdale,680
1655,evanston,679
3335,milpitas,675
4945,somerville,672
5849,wildwood,671
2509,irving,669
281,barnhart,661
588,brick,657
640,browns mills,656
4141,pinehurst,653
4627,salem,645
565,brainerd,642
773,carmichael,641
2110,greenville,641
833,cedar rapids,638
1716,farmington hills,630
2851,lawrenceville,626
5625,washington,625
372,bellevue,622
2610,keizer,620
3917,orange park,618
2446,huntsville,617
4707,saratoga,617
2746,lafayette,613
4520,romney,604
4362,rantoul,591
5293,temple,590
1164,covington,589
159,appleton,588
285,barren springs,588
4165,plainfield,586
6007,yuba city,581
304,baton rouge,578
2132,groton,576
1180,crescent city,573
102,altoona,573
3956,overland park,566
2108,greensboro,565
3249,memphis,565
5840,wichita,559
5290,temecula,558
998,cleveland,558
5641,waterford,558
3865,oceanside,556
2326,higley,554
1894,fulton,551
1688,fairless hills,540
2726,la mesa,536
1957,germantown,535
3228,mcqueeney,530
1721,federal way,527
2160,hackettstown,526
407,berkeley,526
48,albany,520
5915,winter haven,518
3276,merrimack,517
2470,independence,514
1184,crest hill,514
447,birmingham,511
2281,hendersonville,509
5253,tacoma,508
1267,dayton,507
5790,westminster,507
200,athens,504
3830,o`fallon,504
887,charlotte,503
4088,peoria,503
3437,morris,501
1547,elizabeth city,500
3013,los banos,499
3292,michie,497
2676,kingsville,496
3711,niskayuna,492
2213,harrisburg,490
4487,rock island,490
3998,palmdale,486
2586,kamuela,486
1249,danville,485
1402,duluth,480
122,anaheim,480
26,adrian,479
5791,westmont,479
2879,lemon grove,477
3418,mooresville,476
4697,santa rosa,473
1148,cottage grove,472
123,anchorage,470
4604,saginaw,467
1278,decatur,466
3537,muskegon,464
1902,gainesville,463
5506,vancouver,461
3708,niles,458
714,cambridge,455
2249,hawthorne,444
1845,freehold,444
3368,moberly,443
6006,ypsilanti,441
208,atlantic highlands,439
5601,waltham,439
3703,nicholasville,438
4685,santa ana,437
3438,morris plains,436
3623,new berlin,434
3237,medford,431
424,bethlehem,431
5614,warren,427
5162,strafford,425
3251,menasha,425
813,catawba,424
5545,vinton,424
5358,toledo,422
2803,lancaster,421
2776,lake mary,420
4414,reston,419
7,abilene,417
5953,woodstock,415
2394,hoover,415
3442,morro bay,414
5104,stamford,413
4621,saint paul,412
1832,franconia,397
4042,pasadena,395
482,bloomfield hills,394
1023,coal township,394
4095,perry,392
4691,santa fe,392
53,albq,392
6013,zachary,391
5758,west palm beach,386
3474,mount vernon,385
1693,fairview,385
997,clevelad,381
2500,iowa city,380
3074,madera,378
4896,sioux falls,378
1729,festus,378
1768,forest grove,376
667,burbank,374
3315,milford,371
2541,jefferson,371
3165,marshfield,368
3852,oakwood,367
251,baker city,366
2134,grove city,366
2182,hamilton,365
5531,victor,359
77,allen park,359
592,bridgeton,359
1648,eugene,359
310,bay area,358
1376,dove canyon,357
3381,moline,356
1853,fresno,354
5681,webster,353
1893,fullerton,352
5013,spartanburg,351
1841,fredericksburg,349
800,casper,348
1673,fair haven,347
2055,grand rapids,346
1295,deland,346
2508,irvine,345
3961,owensboro,344
1221,cumming,343
1681,fairfax,343
2440,huntington beach,343
189,ashland,341
3176,mason,340
2677,kingwood,340
1075,columbiana,340
5837,whitney,340
290,bartlesville,339
1994,glendale,339
4760,scottsdale,339
488,bloomsburg,338
2792,lake worth,337
2612,keller,335
2280,henderson,335
5062,st. charles,334
185,ashburn,334
776,carneys point,332
3069,macomb,330
109,amarillo,329
4059,pawtucket,329
5794,westport,328
4606,saint albans,328
4485,rock hill,326
2102,greencastle,325
4739,schertz,323
985,clarksville,323
4001,palmetto bay,321
2388,hood river,320
1380,dow city,318
1857,frisco,316
3243,melbourne,315
5382,traverse city,315
4643,san bernardino,312
2536,janesville,304
3694,newport,303
676,burlington,300
1619,enterprise,300
5579,wake forest,300
540,boulder,300
5487,valley center,299
1647,eufaula,297
2523,jackson,294
2682,kirkland,294
5476,vadnais heights,293
5916,winter park,292
1589,elsmere,289
5422,tuscaloosa,288
3416,moore,288
3059,lynnwood,287
880,chardon,287
4833,shelbyville,287
3815,nottingham,285
4004,palos hills,280
519,bonaire,279
2599,katonah,279
2185,hammond,279
4790,sellersville,278
3114,manistee,277
4025,paris,276
3281,mesquite,275
945,chisholm,274
4458,rison,272
3965,oxford,271
1330,des moines,271
4393,redmond,269
3628,new britain,268
1776,forsyth,268
5083,st. peters,268
1135,corpus christi,268
928,chicago heights,268
810,castleton,268
5647,watervliet,268
1607,encino,267
4044,pasco,267
618,bronx,266
4834,sheldon,265
3676,newark,264
4617,saint louis,261
3250,mena,261
1240,daly city,261
4667,san ramon,260
2687,kissimmee,260
4429,richland,258
994,clemson,257
3596,navarre,257
3931,ormond beach,256
3631,new castle,256
3306,midland,255
2736,lacey,251
5078,st. marys,251
5708,west bend,251
753,cape girardeau,251
3796,northbrook,250
5219,superior,249
4687,santa clara,249
3272,merrick,249
5002,southgate,247
781,carrboro,247
3172,maryland heights,246
2106,greenfield,246
1004,cliffwood,244
3902,ona,244
2768,lake george,243
487,bloomington,243
2818,lansing,242
3777,north reading,242
481,bloomfield,242
3683,newbury park,241
1834,franklin,240
3577,naples,239
5204,sun city,238
4634,salt lake city,238
3896,olney,238
5616,warrensburg,236
5174,struthers,236
4387,redding,236
2893,levittown,236
2632,kensington,236
452,bismarck,235
3053,lynbrook,235
1,.,234
4903,skokie,234
206,atlantic beach,234
2717,la crosse,233
4609,saint clair,233
5829,whitehall,233
2303,hi nella,232
2764,lake forest,231
1397,dublin,231
3259,menomonie,231
5480,valdosta,231
1335,destrehan,230
3695,newport beach,230
1296,delano,227
4766,seadrift,227
3111,manhattan,227
671,burien,227
1797,fort myers,226
3696,newport news,226
4502,rockwell,226
5536,vienna,225
222,aurora,223
4686,santa barbara,221
3352,minot,221
4924,snellville,220
2972,lockport,220
5281,tazewell,219
4913,slippery rock,219
4879,silver spring,218
3410,montrose,218
1551,elk city,218
875,chapel hill,218
2796,lakeland,217
2399,hopewell junction,216
4175,plantersville,215
3404,montgomery,215
3804,northridge,214
4466,riverside,213
5577,waipahu,212
539,bothell,211
3624,new bern,211
3963,owings mills,211
151,apex,209
1553,elk grove,209
4545,round lake,208
5317,the woodlands,207
4861,shrewsbury,207
5816,white haven,205
168,arcata,205
952,chunchula,205
2626,kennesaw,204
2825,largo,204
1752,flossmoor,203
1582,elmhurst,202
5464,upper township,202
3880,okahumpka,202
3524,mundelein,201
991,clearwater,201
1375,douglasville,200
244,bad axe,199
3574,napa,199
1995,glendale heights,197
4737,schenectady,195
143,antelope,194
3652,new milford,194
2391,hooksett,194
2666,king of prussia,193
3233,mechanicsburg,192
2331,hillsboro,192
5183,sudbury,192
2982,lombard,192
4420,rhame,191
5597,walnut creek,191
3321,millbrae,191
4542,roswell,190
645,brunswick,189
4527,roscoe,189
579,bremerton,189
4690,santa cruz,188
5132,sterling,188
2044,granada hills,187
3369,mobile,187
1424,durango,187
2852,lawton,186
1965,gig harbor,186
276,bardstown,186
4752,scott,186
2194,hanover,185
462,blacksburg,184
816,catonsville,184
5710,west blocton,183
3726,normal,183
4870,sierra madre,183
4639,san angelo,182
5741,west lafayette,182
4147,pinon hills,182
4306,providence,181
624,brookline,180
0,,180
4571,rural hall,179
743,canton,178
2657,killeen,178
543,bountiful,177
3037,lubbock,177
1849,fremont,176
2425,hudson,175
5058,st. albans,175
1830,framingham,174
5679,weaverville,174
5901,winfield,173
2113,greenwood,173
178,arlington heights,173
1090,congers,172
3971,pace,172
5155,storm lake,172
444,binghamton,172
139,annapolis,170
438,big river,170
2999,longview,170
252,bakersfield,169
5613,warner robins,168
3399,montclair,167
5494,valley stream,167
5623,warwick,166
2723,la habra heights,166
4323,puyallup,166
886,charlestown,165
5342,tigard,165
620,brookfield,164
3316,mililani,164
1087,concordia,163
1243,danbury,162
4958,south daytona,162
3105,manassas,161
300,batavia,161
5861,williamsport,161
5600,walpole,160
846,center rutland,160
5685,weimar,160
5783,westerville,160
3083,magnolia,159
5591,walla walla,159
5426,tustin,158
2559,joliet,158
2651,keyser,156
1085,concord,156
4133,pine beach,156
3576,naperville,156
5549,visalia,155
218,augusta,154
4405,reno,153
4592,sabine pass,152
1013,clinton twp.,151
4708,saratoga springs,151
515,bolingbrook,151
895,chattanooga,151
442,billings,151
5715,west chester,150
3995,palm desert,149
581,brentwood,149
1437,eagan,149
963,citrus heights,149
3981,paducah,149
5080,st. paul,148
4189,plymouth,148
932,chicopee,148
5024,spokane,147
1200,crossville,147
4566,ruma,146
5645,watertown,145
6012,yuma,145
2778,lake oswego,145
3837,oak park,144
468,blaine,144
5565,waco,144
317,bayboro,144
2685,kirkwood,144
5321,thibodaux,144
5778,westchester,143
6014,zanesville,143
1950,geneva,143
5149,stockton,142
1603,emporia,142
2499,ionia,141
1400,duchesne,139
5690,wellman,139
648,bryan,138
840,centennial,138
289,barstow,137
2961,littleton,137
544,bourbonnais,137
570,brandon,137
1912,galt,136
5120,staten island,135
5485,vallejo,135
158,apple valley,135
577,brea,135
3958,oviedo,134
2511,irwin,134
4533,rosemead,134
605,bristol,133
1714,farmingdale,133
1381,downers grove,133
1045,colfax,133
5525,vero beach,133
4108,pewaukee,132
2135,groveland,132
3088,maiden,132
5550,vista,132
3336,milton,132
5164,stratford,131
5859,williamsburg,131
4706,sarasota,130
5248,syracuse,130
5387,trevose,130
2864,lebanon,130
820,cave creek,130
5617,warrenton,130
1050,college station,129
2600,katy,129
2421,hoxie,128
156,appalachia,128
3702,niceville,128
5961,worcester,128
5702,wesley chapel,128
711,camarillo,127
5642,waterloo,127
4395,redwood city,126
2154,guyton,126
2674,kingsport,126
5305,terre haute,126
1225,cuyahoga falls,125
4375,reading,125
5605,wantagh,123
1719,fayetteville,123
1606,encinitas,123
1099,conway,123
2633,kent,123
4997,southern,123
3258,menomonee falls,122
149,apache junction,122
2830,las cruces,122
2366,hollywood,122
5762,west point,122
83,allston,122
1142,corvallis,122
3990,palm bay,122
5398,troy,121
4842,sherman,121
3826,nyack,121
1823,fountain valley,121
3640,new haven,121
2032,goodyear,121
249,bainbridge island,121
2714,la cienega,121
5144,stillwater,121
1799,fort polk,120
3483,mountlake terrace,120
5742,west lawn,119
3959,owasso,119
3169,martinsburg,119
1812,fort wayne,118
3811,norwood,118
371,belleville,118
584,brewster,118
5911,winston salem,118
3028,loveland,117
601,brighton,117
37,aiken,117
1250,daphne,116
3947,oswego,116
2992,long island,116
5753,west new york,115
4675,sandpoint,115
4860,shreveport,114
3915,orange,114
1738,fishers,114
5151,stone mountain,114
2815,lanham,113
1012,clinton township,113
1414,dunedin,113
4922,smyrna,113
3997,palm springs,113
2054,grand prairie,112
5725,west end,112
3385,monett,112
2219,harrodsburg,112
3748,north dartmouth,112
5201,summerville,112
3904,oneida,111
99,altamonte springs,111
4003,palo alto,111
1997,glendora,111
3389,monroe,111
5924,wisconsin rapids,111
4576,russellville,110
2998,longmont,110
2451,hutchinson,110
1649,euless,110
3727,norman,110
5519,verdon,110
3600,nebraska city,109
1027,coburg,109
233,avon,109
2531,jamaica plain,109
5280,taylorsville,109
2918,lima,109
4086,pensacola,109
2239,hauppauge,109
3633,new cumberland,109
3528,murfreesboro,109
2922,lincoln city,109
2967,livonia,108
3681,newburgh,108
629,brooklyn park,108
3855,ocala,108
4966,south hadley,108
2520,ithaca,107
2561,jonesboro,106
5687,wellesley,105
2550,jersey city,105
4653,san gabriel,105
4519,romeoville,104
3283,methuen,104
2298,hershey,104
4270,poway,104
5177,studio city,103
1244,dandridge,103
5638,watchung,103
5580,wakefield,103
259,baldwinsville,103
865,champaign,103
889,charlottesville,102
2147,gulfport,102
1516,edmond,102
2356,holiday,102
2402,hopkinton,101
955,cicero,101
4389,redford,101
3010,los altos,101
5523,vernon,101
3118,mannford,101
4073,pekin,100
4499,rockville,99
5320,thermopolis,99
2189,hampton,99
5299,tenafly,98
988,clayton,98
516,bolivar,98
3266,meriden,98
4828,sheboygan,97
4575,russell,97
5544,vineland,97
4428,richfield,96
1119,coralville,96
4563,ruby,96
3719,noblesville,96
1685,fairfield,96
1239,dalton,95
5821,white plains,95
2439,huntington,95
4452,rio rancho,95
4407,renton,95
4768,seal beach,94
5779,westchester county,94
268,banks,94
2091,green bay,94
1104,coon rapids,94
4836,shelton,94
2858,league city,94
1320,denton,94
2754,laguna park,93
739,canoga park,93
3362,missoula,92
5031,spring hill,92
4492,rockford,92
5015,spencer,91
5726,west fairlee,91
1163,covina,91
1656,evansville,91
1064,colony,90
1055,collings lakes,90
2138,groves,90
3697,newton,90
1197,cross plains,90
5842,wickenburg,90
1946,geismar,89
41,alameda,89
162,aptos,89
2010,gloucester,89
263,ballston spa,88
86,aloha,88
3122,mansfield,88
6011,yulee,88
2571,juneau,87
1659,everett,87
4680,sandy,87
961,circleville,87
857,centreville,86
5584,waldorf,86
1017,clovis,86
1744,flint,86
647,brush valley,86
5877,willow street,86
1254,darlington,86
3903,onalaska,86
2580,kalamazoo,86
2849,lawrence,85
4144,pineville,85
1987,glen ellyn,85
5446,union,85
3358,mission,85
5343,tijeras,85
1567,ellensburg,85
767,carlsbad,85
1262,davis,85
1259,davenport,84
1704,falls church,84
5563,waban,83
2986,londonderry,83
548,bowling green,83
5870,willoughby,83
4106,petersburg,82
76,allen,82
3639,new hartford,82
228,avalon,82
4224,port angeles,82
5543,vine grove,82
5065,st. clair shores,82
4552,roxbury,82
4360,randolph,82
4215,ponte vedra,81
1416,dunkirk,81
4195,pocomoke city,81
3661,new port richey,81
2516,isle of palms,81
5636,wasilla,81
3924,oregon city,81
2631,kenosha,80
1913,galveston,80
4952,south bend,80
116,ames,80
3455,mount airy,80
5285,tehachapi,80
392,benbrook,80
115,americus,80
4104,petaluma,80
4910,slidell,80
815,catlettsburg,80
4536,roseville,80
1383,downieville,79
3000,longwood,79
325,beach park,79
3150,marion,79
3872,oelwein,79
1377,dover,79
5928,woburn,79
118,amherst,78
5797,westwood,78
4529,roseburg,78
4695,santa monica,78
809,castle rock,78
318,bayfield,78
1549,elizabethtown,78
787,carson city,78
2727,la mirada,78
1289,dekalb,78
5282,teaneck,77
5415,tumwater,77
4009,pampa,77
756,cape neddick,77
1520,edwardsville,77
2587,kaneohe,77
2759,lake charles,76
4994,southaven,76
4953,south berwick,76
5313,the dalles,76
5952,woodside,76
1781,fort collins,76
4799,setauket,76
1907,gallatin,75
2272,helena,75
2971,lock haven,74
4120,phoenixville,74
3522,muncie,74
4688,santa clarita,74
5291,tempe,74
3766,north little rock,74
4239,port orchard,74
977,clark fork,74
930,chickasha,74
148,ap,73
4354,rancho cucamonga,73
5102,stafford,73
4427,richboro,73
1491,easthampton,73
3204,maysville,72
553,boyce,72
3434,morgantown,72
3571,nanticoke,72
2944,litchfield,72
181,arnold,72
5517,ventura,72
4490,rockaway beach,71
2344,hixson,71
2763,lake elsinore,71
946,chittenango,71
4173,plant city,71
3308,midlothian,71
1651,eureka,71
2164,hagerstown,71
5831,whiteman afb,70
5214,sunderland,70
2836,latonia,70
3469,mount pleasant,70
5303,terra alta,70
4210,pomfret center,70
1921,garden grove,70
2639,kernersville,70
2414,hot springs,69
80,allentown,69
3857,occoquan,69
2934,lindsey,69
5442,umatilla,69
5419,turners falls,69
3693,newnan,69
758,capitola,68
591,bridgeport,68
4406,rensselaer,68
5719,west concord,68
3123,manteca,67
909,cherry hill,67
3134,maplewood,67
2035,gordonsville,67
66,alderson,67
5378,trabuco canyon,67
3989,palestine,67
729,canaan,67
736,candler,67
3546,n,67
3211,mcclelland,67
5553,voorhees,67
1632,essex,66
474,blanchester,66
1212,cudahy,66
3819,novinger,66
802,casselberry,66
5012,sparta,66
654,buckfield,66
5692,wellston,65
1291,del aire,65
4331,queens,65
1691,fairport,65
5552,voncouver,65
2020,golden,65
4619,saint marys,65
4612,saint francis,65
1931,garland,64
3648,new lenox,64
665,buford,64
127,andrews,64
864,chambersburg,64
19,adams,64
1483,east providence,63
1761,folsom,63
962,citronelle,63
5036,springdale,63
4055,paullina,63
2675,kingston,63
4906,slatington,63
4555,royal oak,63
1010,clinton,63
3807,norton,63
1386,doylestown,62
4531,roselle,62
3755,north haven,62
5738,west hollywood,62
770,carmel,62
528,boone,62
4979,south plainfield,62
2790,lake winnebago,62
4153,pismo beach,62
508,boerne,62
4584,rye brook,62
2047,grand blanc,62
3566,na,62
4611,saint cloud,62
1145,costa mesa,61
4848,shingle springs,61
760,carbondale,61
326,beacon,61
163,arab,61
1840,frederick,61
5562,w.m.,61
1850,french camp,61
2411,horsham,61
5365,tonawanda,61
1268,daytona beach,61
4986,south saint paul,61
175,arkansas,61
1025,coatesville,60
347,bel air,60
4663,san mateo,60
1470,east lansing,60
5437,tyler,60
4179,plattsburgh,60
4601,sag harbor,60
2476,indian springs village,60
1626,erin,60
1299,deleon,60
4334,quincy,60
560,bradenton,59
4467,riverside public library,59
2148,gum spring,59
4010,panama city,59
5669,waynesboro,59
2605,kearney,59
752,cape coral,59
1982,glen burnie,59
3541,myrtle beach,59
3810,norwich,58
1058,collinsville,58
5307,terrytown,58
215,auburn hills,58
908,cherry creek,58
702,caldwell,58
1477,east orange,58
3427,morehead,58
3758,north hollywood,58
4937,soddy-daisy,58
5086,st. rose,57
1097,conshohocken,57
1766,forest,57
4909,sleepy hollow,57
5135,sterlington,57
2870,leesburg,57
4294,princeton,57
573,bratenahl,57
2943,lisle,57
1360,dodge center,57
4608,saint charles,57
4266,poughkeepsie,56
4326,quakertown,56
3749,north dighton,56
1974,gladewater,56
5053,st paul,56
1014,clintonville,56
687,buxton,56
1625,erie,56
5066,st. clairsville,56
4666,san rafael,56
5699,wentzville,56
975,clarinda,56
1466,east hartford,56
5972,wylie,55
1393,drums,55
1353,dingmans ferry,55
3360,mission viejo,55
3732,north arlington,55
4174,plantation,55
2609,keene,55
1780,fort carson,55
811,castro valley,55
1069,colton,55
305,battle creek,55
3671,new waverly,55
1577,elm grove,55
5723,west des moines,55
1496,eatontown,54
5056,st petersburg,54
426,bethpage,54
4101,peru,54
3297,middleburg,54
3238,media,54
2728,la monte,54
2623,kenmore,54
3142,margaret,54
5999,yorktown,54
2659,kimberling city,53
275,bardonia,53
2286,herculaneum,53
15,acton,53
4257,portsmouth,53
3173,marysville,53
3925,orem,53
4764,seabeck,53
3286,mexico,53
1329,derry,53
1118,coral springs,52
2945,lithia springs,52
1763,fontana,52
3707,nightsky,52
3348,minnetonka,52
942,chinook,52
4807,seymour,52
3209,mcallen,52
457,black hawk,52
3338,milwaukie,52
5734,west haven,51
5339,tiburon,51
2894,lewes,51
5333,thornton,51
4976,south orange,51
3445,moscow,51
5394,trout creek,51
4023,paramus,51
1514,edison,51
264,ballwin,51
3057,lynn,51
747,canyon country,51
475,blanco,50
3606,nekoosa,50
4156,pittsboro,50
9,abington,50
5236,swartz creek,50
52,albion,50
3878,oil city,50
4036,parma,50
4821,sharon hill,50
4253,porter,50
1963,gibsonia,50
2990,long branch,50
5937,woodburn,50
3095,malden,49
2220,hartford,49
2889,leroy,49
1063,colonial heights,49
273,barboursville,49
863,chalmette,49
3916,orange county,49
3109,mandeville,49
6008,yucaipa,49
5467,urbana,49
642,brownsville,49
639,browns,49
5833,whitesboro,49
5399,truckee,48
4701,santee,48
1671,factoryville,48
4308,provo,48
4335,quinton,48
1482,east point,48
306,battle ground,48
3649,new london,48
3526,munster,48
4583,rye,48
3488,moyock,48
706,calhoun,48
3224,mcleansville,48
3829,o fallon,48
595,bridgewater,48
1175,crawfordsville,48
1700,fall river,47
4877,silver lake,47
1310,deltona,47
2545,jenks,47
768,carlstadt,47
3007,lorton,47
2542,jefferson city,47
369,bellerose,47
2217,harrisonville,47
4285,prescott,47
5768,west seneca,47
3364,mitchell,47
5744,west liberty,47
1789,fort lauderdale,47
735,canby,47
4053,patton,47
3403,montevallo,46
5475,vacaville,46
2716,la crescenta,46
4439,ridgeland,46
3888,old orchard beach,46
1610,enfield,46
2083,great falls,46
3254,mendon,46
2005,glenview,46
5461,upper marlboro,46
383,belmont,46
5173,stroudsburg,46
4072,pegram,46
1953,georgetown,46
3941,oshkosh,46
5097,st.louis,46
3205,maytown,46
5193,sullivan,46
2537,japser,45
5381,travelers rest,45
311,bay city,45
697,cadillac,45
3827,nyc,45
717,camdenton,45
5449,union city,45
5241,swisshime,45
4661,san luis obispo,45
1702,fallon,45
2401,hopkinsville,45
3642,new hope,45
1136,corrales,45
2301,hewitt,45
3419,moorhead,45
1143,corydon,45
3675,new york city,45
1298,delaware water gap,44
2823,laramie,44
2846,lavista,44
2011,gloversville,44
5662,wauwatosa,44
2691,klamath falls,44
1153,cottonwood,44
2665,king george,44
3079,madras,44
2589,kannapolis,44
3478,mountain home,44
5897,windsor,44
1005,clifton,44
1855,fridley,43
5828,whitefish bay,43
1856,friendswood,43
5838,whittier,43
5852,wilkes-barre,43
4925,snohomish,43
1709,fargo,43
89,alpharetta,43
5912,winston-salem,43
420,bethany,43
3875,ogden,43
2615,kelso,43
3429,moreno valley,43
1128,cornelius,43
2415,houghton,43
2724,la jolla,43
5258,takoma park,43
1590,elverta,43
5226,sutherlin,43
40,alabaster,43
5515,venice,43
5402,trussville,43
657,bucksport,43
910,cherry valley,43
2576,kahului,43
2975,lodi,42
649,bryant,42
5683,weehawken,42
3222,mckinney,42
1490,eastern san fernando valley,42
3071,macon,42
5894,winder,42
1447,easley,42
1558,elkhorn,42
2052,grand junction,42
2868,leeds,42
5458,upland,42
1252,darien,42
4426,richardson,42
2214,harrison,42
5348,tinley park,42
2181,hamden,42
2493,interlachen,42
4267,poulsbo,42
2903,lexington park,42
5747,west los angeles,42
5611,waretown,42
791,carthage,41
2471,indialantic,41
4645,san carlos,41
428,bettendorf,41
3054,lynchburg,41
291,bartlett,41
5463,upper sandusky,41
4992,south windsor,41
1532,el cerrito,41
3962,owensville,41
1288,deforest,41
141,annville,41
5275,taunton,41
1557,elkhart,41
4248,port townsend,41
3700,niagara falls,40
5599,walnut ridge,40
4353,rancho cordova,40
755,cape may court house,40
3162,marseilles,40
5273,tarrytown,40
4718,saugus,40
4782,sedalia,40
4723,savage,40
4743,schofield,40
321,bayside,40
1284,deer mountain,40
4060,payson,40
3969,ozark,39
1533,el dorado hills,39
3500,mt. crawford,39
3930,orleans,39
3882,okemos,39
5271,taos,39
4476,roberts,39
3277,merritt island,39
4105,peterborough,39
4128,pikeville,39
5133,sterling heights,39
5657,waukesha,39
3626,new braunfels,39
2432,hull,39
585,brewton,39
557,boynton beach,39
5938,woodbury,39
801,cassadaga,39
1264,davison,39
1365,donald,38
2117,gresham,38
3793,northampton,38
5111,stanton,38
173,ardmore,38
1696,fairview park,38
3836,oak lawn,38
1462,east greenwich,38
5691,wells,38
765,carlisle,38
227,ava,38
5777,westbury,38
2186,hammonton,38
3215,mcdonough,38
4826,shawnee,38
2195,hanover park,38
437,big rapids,38
5435,two rivers,38
2475,indian rocks beach,38
3619,nevada city,38
5160,stowe,38
5893,winchester,38
3431,morgan hill,38
5451,uniontown,38
1546,elizabeth,38
3379,mokena,38
5001,southfield,38
3158,marquette,38
1170,cranbery township,38
2826,larkspur,38
2288,herkimer,37
1724,fenton,37
4946,somewhere,37
2233,hatboro,37
4742,schnellville,37
4016,paoli,37
5661,wausau,37
2898,lewiston,37
4032,parker,37
2671,kingsburg,37
2672,kingsland,37
4228,port clinton,37
3180,mastic beach,37
94,alta loma,37
740,canon city,37
2799,lakeville,37
574,brattleboro,37
931,chico,37
2932,lindenhurst,37
4631,salisbury,37
1158,council bluffs,37
1669,exton,37
4659,san leandro,37
2817,lansdowne,37
4638,sammamish,37
1833,frankfort,37
5921,winthrop harbor,36
5866,willis,36
1713,farmers branch,36
4665,san pedro,36
1664,ewa beach,36
1057,collins,36
192,ashville,36
1611,englewood,36
4264,pottstown,36
4436,ridgecrest,36
4681,sanford,36
2771,lake helen,36
397,bennington,36
1465,east hanover,36
3201,maynard,36
3393,monrovia,36
4245,port st lucie,36
2416,houma,36
1975,gladstone,36
4778,secane,36
5951,woods hole,36
5745,west linn,36
1117,coral gables,36
5186,suffolk,36
4149,pipe creek,36
1346,diamond bar,36
5335,thousand oaks,36
4124,pickerington,35
2882,lenexa,35
5784,westfield,35
3808,norwalk,35
