,Book-Author,Count
19859,Gabriel Garcia Marquez,41
7629,Carla Cassidy,41
26765,Jane Yolen,41
42692,Michael Jan Friedman,41
54615,Scott Adams,41
46691,Patricia Reilly Giff,41
9027,Charles M. Schulz,41
25277,Jackie Collins,41
58264,Tanith Lee,41
32122,Judy Christenberry,41
40546,Martha Grimes,41
8854,Charles De Lint,40
38752,Maggie Shayne,40
21631,Grace Livingston Hill,40
30310,John Le Carre,40
17644,Emily Chase,40
14558,Disney Enterprises Inc,40
25563,James Axler,40
9378,Cherie Bennett,40
24389,Iris Johansen,40
10516,Clive Barker,40
35029,L.M. Montgomery,40
21570,Gordon R. Dickson,39
44908,Neil Gaiman,39
41001,Mary Daheim,39
39818,Marilyn Pappano,39
16434,Edward Packard,39
38085,Lydia Adamson,39
57781,Suzanne Brockmann,39
32228,Jules Verne,39
4072,Avi,39
53947,Sally Wentworth,39
9292,Charlotte Macleod,39
26833,Janet Evanovich,39
28978,Joan Hohl,39
38318,Lynne Graham,39
61046,Virginia Woolf,39
21254,Gina Wilkins,38
30721,John Saul,38
9856,Christine Rimmer,38
60810,Victoria Holt,38
57670,Susan Wiggs,38
27931,Jennifer Blake,38
28205,Jerry B. Jenkins,38
51029,Rita Mae Brown,38
35394,Laura Ingalls Wilder,37
57076,Stuart M. Kaminsky,37
42444,Michael Crichton,37
15276,Dorothy Garlock,37
57097,Stuart Woods,37
15277,Dorothy Gilman,37
20603,George Eliot,37
18091,Erle Stanley Gardner,37
36051,Leigh Greenwood,37
23675,Honor Books,37
56324,Stephen Coonts,37
30861,John Updike,37
41505,Matt Christopher,37
42204,Merline Lovelace,37
33279,Katherine Applegate,37
63102,Zane Grey,37
41732,Max Allan Collins,36
39074,Marcia Muller,36
61441,Walter Mosley,36
4306,Barbara Cartland,36
9256,Charlotte Bronte,36
8067,Carole Nelson Douglas,36
37398,Lois Gladys Leppard,36
37547,Lori Foster,36
19291,Frank Herbert,36
3163,Anne Tyler,36
54214,Sandra Marton,36
3089,Anne Mcallister,36
25157,Jack Kerouac,36
30184,John Irving,36
30214,John Jakes,36
37348,Lloyd Alexander,36
60495,Valerie Tripp,36
37155,Lisa Jackson,36
47625,Peggy Parish,36
61551,Warren Murphy,35
25960,James Lee Burke,35
3658,Arnette Lamb,35
5269,Bertrice Small,35
14568,Dixie Browning,35
12123,Dave Barry,35
42905,Michael Phillips,35
7305,C.J. Cherryh,35
18675,Faye Kellerman,35
4974,Ben M. Baglio,35
53584,Ruth Langan,35
14318,Diane Hoh,35
23220,Henry David Thoreau,35
24939,J.A. Jance,35
48465,Philip Jose Farmer,35
20877,Georgette Heyer,35
62185,William Faulkner,35
49761,Readers Digest,35
35738,Lavyrle Spencer,35
8576,Cathy Gillen Thacker,35
55636,Simon Brett,35
39375,Margaret Way,34
46855,Patrick O'Brian,34
49259,Rachel Lee,34
11483,Dallas Schulze,34
18093,Erma Bombeck,34
57600,Susan Saunders,34
61928,Willa Cather,34
35710,Laurie Paige,34
55370,Sherryl Woods,34
36177,Leo Tolstoy,34
18341,Eugenia Price,34
18414,Eve Bunting,34
6214,Bodie Thoene,34
1395,Alice Walker,34
58177,Tabor Evans,34
4538,Barbara Park,34
59942,Tony Abbott,34
56330,Stephen Crane,34
4287,Barbara Bretton,34
21673,Graham Greene,34
56524,Stephen R. Donaldson,34
52411,Robyn Donald,34
56128,Stella Cameron,34
21756,Greg Bear,34
15598,Dr. Seuss,34
35120,Landoll,34
32401,Julie Garwood,33
48790,Plato,33
9284,Charlotte Lamb,33
38650,Madeline Baker,33
7198,C. J. Cherryh,33
51662,Robert Jordan,33
17622,Emilie Richards,33
39162,Margaret Atwood,33
2745,Ann Rule,33
1184,Alexandre Dumas,33
41223,Mary Lynn Baxter,33
3772,Arthur Conan Doyle,33
34894,Kurt Vonnegut,33
36106,Len Deighton,33
57869,Suzanne Weyn,33
61382,Walter Farley,33
23446,Herman Melville,33
37413,Lois Lowry,33
14656,Don Coldsmith,32
6642,Brian Lumley,32
44026,Morgan Llywelyn,32
13259,David Weber,32
41359,Mary Stewart,32
36535,Lewis Grizzard,32
47423,Paul Zindel,32
23112,Helene Siegel,32
41405,Mary Wollstonecraft Shelley,32
41147,Mary Jo Putney,32
20711,George Macdonald,32
14834,Donald E. Westlake,32
30559,John Peel,32
25908,James Joyce,32
3773,"Arthur Conan, Sir Doyle",32
21161,Gilbert Morris,32
47380,Paul Theroux,32
57440,Susan Johnson,31
17497,Elliott Roosevelt,31
25298,Jackie Merritt,31
32916,Karen Robards,31
14270,Diana Wynne Jones,31
34042,Ken Follett,31
37544,Lori Copeland,31
28707,Jim Miller,31
41973,Mel Odom,31
4518,Barbara Michaels,31
12114,Dav Pilkey,31
54556,Saul Bellow,31
11220,Cynthia Voigt,31
21857,Gregory Benford,31
8467,Catherine George,31
37024,Lindsay Armstrong,31
26587,Jane Feather,31
18906,Fodor'S,31
9362,Chelsea Quinn Yarbro,31
59856,Tom Smith,31
32008,Judith Mcnaught,30
57304,Susan Cooper,30
27386,Jean Marzollo,30
13767,Deepak Chopra,30
14285,Diane Carey,30
33578,Kathryn Kenny,30
55090,Sharyn Mccrumb,30
22431,Harlan Ellison,30
19947,Gail Herman,30
13660,Deborah Smith,30
18223,Esther Friesner,30
25860,James Herriot,30
59435,Time Life Books,30
27768,Jeffrey Archer,30
7342,Cait London,30
9108,Charles R. Swindoll,30
27962,Jennifer Greene,30
38208,Lynn Erickson,30
19724,Fyodor Dostoyevsky,30
50658,Richard Peck,30
22,A. A. Milne,30
17727,Emma Goldrick,30
17348,Ellen Datlow,30
46696,Patricia Rosemoor,30
41056,Mary Engelbreit,30
17156,Elizabeth Levy,30
11711,Dana Stabenow,30
52278,Robin Cook,30
19012,Frances Hodgson Burnett,29
47448,Paula Danziger,29
47505,Paulette Bourgeois,29
41830,May Sarton,29
21588,Gore Vidal,29
29069,Joan Smith,29
62622,William Shatner,29
34608,Kinky Friedman,29
55648,Simon Hawke,29
46659,Patricia Moyes,29
58671,Tess Gerritsen,29
37387,Lois Duncan,29
39455,Margot Dalton,29
35549,Laurell K. Hamilton,29
37986,Lucy Gordon,29
24392,Iris Murdoch,29
22596,Harriet Ziefert,29
2689,Ann Major,29
58252,Tamora Pierce,29
52257,Robertson Davies,29
58239,Tami Hoag,29
54355,Sara Orwig,29
40340,Mark Stevens,29
4596,Barbara Taylor Bradford,29
5123,Bernard Cornwell,29
53181,Rosemary Wells,29
16616,Elaine Barbieri,29
52562,Roger Hargreaves,29
39398,Marge Piercy,29
22539,Harold Robbins,29
4278,Barbara Boswell,29
28531,Jill Shalvis,29
31139,Jonathan Gash,29
33430,Kathleen Eagle,28
39573,Marian Babson,28
44103,Mouse Works,28
1751,Amanda Cross,28
10779,Constance O'Banyon,28
15296,Dorothy L. Sayers,28
5830,Bill Pronzini,28
46011,P. D. James,28
21344,Glen Cook,28
5348,Bethany Campbell,28
47704,Penny Frank,28
27725,Jeff Rovin,28
52323,Robin Jones Gunn,28
36098,Lemony Snicket,28
7644,Carla Neggers,28
5456,Betty Crocker,28
55899,Spider Robinson,28
37417,Lois Mcmaster Bujold,28
15049,Donna Kauffman,28
3272,Anonymous,28
39299,Margaret Maron,28
19654,Frederik Pohl,28
9738,Christina Dodd,28
28017,Jennifer Roberson,28
43112,Michaela Muntean,28
54586,Scholastic Books,28
49784,Rebecca Brandewyne,28
18565,F. Paul Wilson,28
20031,Gardner Dozois,28
59546,Tisha Hamilton,27
1509,Alistair Maclean,27
562,Aimee Thurlo,27
39402,Margery Allingham,27
10592,Colin Dexter,27
39383,Margaret Wise Brown,27
27295,Jean Craighead George,27
56217,Stephanie Laurens,27
12357,David Brin,27
32823,Karen Harper,27
46748,Patricia Wentworth,27
31700,Joy Wilt Berry,27
6205,Bobby Hutchinson,27
26999,Janice Kaiser,27
11775,Daniel Defoe,27
1327,Alice Hoffman,27
14199,Diana G. Gallagher,27
34853,Kristine Rolofson,27
30064,John Grisham,27
16948,Elizabeth Bevarly,27
54310,Sara Craven,27
11293,D. H. Lawrence,27
16946,Elizabeth Berg,27
8104,Caroline Burnes,27
56528,Stephen R. Lawhead,27
60829,Victoria Pade,27
32073,Judith Tarr,27
49942,Reginald Hill,27
17364,Ellen Gilchrist,27
25782,James Fenimore Cooper,27
58221,Tamar Myers,27
42209,Merriam-Webster,27
15517,Douglas Niles,27
26959,Janet Woods,27
48102,Peter Lovesey,27
6083,Bob Greene,26
11416,Daisaku Ikeda,26
43478,Mike Resnick,26
9144,Charles Sheffield,26
13430,Dean Wesley Smith,26
57217,Sunset Books,26
5814,Bill Myers,26
29624,John Bellairs,26
3449,Antonia Fraser,26
7672,Carlos Castaneda,26
28202,Jerry Ahern,26
2554,Anita Shreve,26
44554,Nancy Pickard,26
11201,Cynthia Rylant,26
23457,Hermann Hesse,26
31082,Jon Scieszka,26
14355,Diane Mott Davidson,26
30878,John Vornholt,26
47618,Peggy Moreland,26
25810,James Gelsey,26
31862,Jude Watson,26
33234,Kate Wilhelm,26
41644,Maureen Child,26
32125,Judy Collins,26
13365,Dawn Stewardson,26
37508,Loren D. Estleman,26
27375,Jean M. Auel,26
46484,Patricia A. Mckillip,26
50533,Richard Laymon,26
28472,Jill Churchill,26
61877,Wilkie Collins,26
15200,Doris May Lessing,26
15224,Dorling Kindersley Publishing,26
25019,J.R.R. Tolkien,26
21889,Gregory Mcdonald,26
22854,Heather Graham Pozzessere,25
54920,Shannon Drake,25
5551,Beverly Barton,25
52226,Roberta Gellis,25
33905,Keith Laumer,25
29118,Joanna Campbell,25
53170,Rosemary Rogers,25
37739,Louis Sachar,25
17641,Emily Bronte,25
32211,Jule Mcbride,25
55008,Sharon Green,25
8578,Cathy Guisewite,25
26529,Jane Belk Moncure,25
39800,Marilyn Kaye,25
6456,Brenda Joyce,25
26089,James P. Hogan,25
56695,Steve Jackson,25
54172,Sandra Field,25
22946,Helen Bianchin,25
42300,Michael A. Stackpole,25
57300,Susan Conant,25
32332,Julian May,25
1997,Anais Nin,25
15881,E.L. Konigsburg,25
32449,Julie Smith,25
44449,Nancy Holder,25
41550,Matthew F Christopher,25
54375,Sara Wood,25
21556,Gordon Korman,25
34956,L. E. Modesitt Jr.,24
10243,Claire M. Johnson,24
27941,Jennifer Crusie,24
57451,Susan Kearney,24
33159,Kate Hoffmann,24
56178,Stephanie Calmenson,24
19430,Franz Kafka,24
17214,Elizabeth Oldfield,24
41638,Maura Seger,24
20055,Garrison Keillor,24
27751,Jeffery Deaver,24
3612,Arlene James,24
33089,Kat Martin,24
12226,David A. Adler,24
30051,John Gray,24
31768,Joyce Meyer,24
48521,Philip Roth,24
26647,Jane Langton,24
29443,Joel Rosenberg,24
24450,Isaac Bashevis Singer,24
50260,Richard Carlson,24
20178,Gary Larson,24
58275,Tanya Huff,24
58300,Tara Taylor Quinn,24
12596,David Gerrold,24
17437,Ellen Small,24
56585,Stephen White,24
11649,Dan Simmons,24
2521,Anita Brookner,24
20873,Georges Simenon,24
30025,John Gardner,24
36086,Leisure Arts,24
48639,Phoebe Atwood Taylor,24
21242,Gina Ingoglia,24
14817,Donald Clayton Porter,24
56740,Steve Perry,24
26117,James Preller,24
48508,Philip Pullman,23
7817,Carol Finch,23
28842,Jo Beverley,23
38509,M. Scott Peck,23
54357,Sara Paretsky,23
37575,Lori Wick,23
28856,Jo Goodman,23
60042,Tori Carrington,23
55572,Sidney Sheldon,23
7575,Carl Hiaasen,23
46693,Patricia Rice,23
41890,Meg Cabot,23
17452,Ellen Weiss,23
62222,William Goldman,23
50652,Richard Paul Evans,23
63072,Yvonne Whittal,23
61378,Walter Dean Myers,23
8093,Caroline Arnold,23
16088,Edgar Rice Burroughs,23
4926,Belva Plain,23
36057,Leigh Michaels,23
5368,Betsy Byars,23
29482,Johanna Hurwitz,23
30719,John Sandford,23
57734,Susie Bright,23
48240,Peter Straub,23
43256,Michelle Reid,23
26351,Jamie Suzanne,23
58422,Teddy Slater,23
29110,Joann Ross,23
19073,Francesca Lia Block,23
33812,Kay Thorpe,23
26925,Janet Quin-Harkin,23
40013,Marjorie Weinman Sharmat,23
51639,Robert J. Randisi,23
3171,Anne Weale,23
31556,Joseph Wambaugh,23
4517,Barbara Metzger,23
43499,Mike Thaler,23
37799,Louise Erdrich,23
42434,Michael Connelly,23
50071,Reynolds Price,23
5590,Beverly Lewis,22
29156,Joanna Wayne,22
24456,Isabel Allende,22
45741,Og Mandino,22
25213,Jack Prelutsky,22
4508,Barbara Mccauley,22
61591,Wayne Barton,22
49703,Raymond E. Feist,22
41740,Max Brand,22
45429,Noam Chomsky,22
9807,Christine Feehan,22
49697,Raymond Chandler,22
12576,David G. Hartwell,22
60481,Valerie Parv,22
46682,Patricia Potter,22
45954,Outlet,22
44596,Nancy Springer,22
33338,Katherine Paterson,22
4512,Barbara Mcmahon,22
17061,Elizabeth George,22
27540,Jeanne Betancourt,22
11435,Dale Brown,22
50954,Ridley Pearson,22
56349,Stephen E. Ambrose,22
54154,Sandra Chastain,22
38693,Maeve Binchy,22
49456,Ramsey Campbell,22
56424,Stephen Jay Gould,22
23738,Howard Fast,22
21684,Graham Masterton,22
35634,Laurence Yep,22
25099,Jack Dann,22
47647,Peggy Webb,22
53232,Ross Macdonald,22
40696,Martin Harry Greenberg,22
42371,Michael Bond,22
6193,Bobbi Smith,22
32010,Judith Mcwilliams,22
36753,Linda Cajio,22
44491,Nancy Krulik,22
47453,Paula Fox,22
56813,Steven Brust,22
38178,Lynn Abbey,22
42544,Michael Flynn,22
1059,Alex Ross,22
5906,Billy Graham,22
60222,Troy Denning,22
12136,Dave Duncan,22
23668,Homer,22
47928,Peter Dickinson,22
46191,Pamela Bauer,22
26730,Jane Smiley,22
59512,Timothy Zahn,22
28297,Jerry Spinelli,22
11771,Daniel Cohen,22
63144,Zilpha Keatley Snyder,22
60127,Tracy Sinclair,22
17197,Elizabeth Moon,22
53413,Rumiko Takahashi,22
11118,Cyndy Szekeres,22
58576,Terry C. Johnston,22
58059,T. Coraghessan Boyle,21
3649,Armistead Maupin,21
23961,Hunter S. Thompson,21
19602,Frederick Forsyth,21
9161,Charles Stanley,21
39009,Marc Tolon Brown,21
7678,Carlos Fuentes,21
13371,Day Leclaire,21
17830,Eric Carle,21
59903,Tomie Depaola,21
15984,Ed Greenwood,21
60325,Umberto Eco,21
6908,Bruce Lansky,21
45003,Nevada Barr,21
22664,Harry Kemelman,21
44403,Nancy E. Krulik,21
24061,Ian Jack,21
49359,Ralph Compton,21
57532,Susan Napier,21
10654,Colleen Mccullough,21
22352,Hannah Howell,21
35189,Larry Burkett,21
49805,Rebecca Flanders,21
41515,Matt Groening,21
27092,Jasmine Cresswell,21
19096,Francine Rivers,21
13982,Dennis L. Mckiernan,21
26778,Janelle Denison,21
46536,Patricia Cornwell,21
32419,Julie Kistler,21
31348,Joseph Campbell,21
13413,Dean Koontz,21
15559,Dr Seuss,21
18686,Fayrene Preston,21
37038,Lindsey Davis,21
8205,Carolyn G. Hart,21
60347,Unknown,21
28865,Jo Leigh,21
33305,Katherine Hall Page,21
46198,Pamela Browning,21
3838,Arthur Miller,21
46517,Patricia C. Wrede,21
38339,Lynne Reid Banks,21
37314,Liza Alexander,21
2740,Ann Rinaldi,21
21636,Grace Maccarone,21
61679,Wendell Berry,21
31204,Jonathan Swift,21
54380,Sarah Albee,21
53056,Rosamunde Pilcher,21
60244,Truman Capote,21
28831,Jo Ann Ferguson,21
46597,Patricia Highsmith,21
46582,Patricia Hagan,21
57675,Susan Wittig Albert,21
11719,Dandi Daley Mackall,21
5676,Bill Bryson,21
45629,Norman Mailer,21
54938,Sharan Newman,20
33119,Kate Chopin,20
8440,Catherine Cookson,20
57972,Sylvia Browne,20
16267,Edward Abbey,20
10753,Constance Allen,20
57261,Susan Beth Pfeffer,20
32849,Karen Kingsbury,20
5512,Betty Ren Wright,20
12332,David Bischoff,20
1983,Ana Leigh,20
44329,Nan Ryan,20
36006,Lee Smith,20
26606,Jane Haddam,20
44489,Nancy Kress,20
17381,Ellen James,20
39475,Marguerite Henry,20
6410,Bram Stoker,20
59113,Thomas Keneally,20
54100,Samuel R. Delany,20
62022,William Bernhardt,20
61662,Weight Watchers,20
57564,Susan Polis Schutz,20
50933,Rick Steves,20
26414,Jan Hudson,20
36710,Linda A. Cooney,20
33878,Keith Douglass,20
46073,P.G. Wodehouse,20
5379,Betsy Haynes,20
33405,Kathleen Creighton,20
24093,Ian Rankin,20
7322,C.S. Lewis,20
31603,Josh Mcdowell,20
30570,John Peterson,20
8394,Cassie Miles,20
7382,Calvin Trillin,20
18664,Fay Weldon,20
5875,Bill Watterson,20
34848,Kristine Kathryn Rusch,20
24046,Ian Fleming,20
8413,Catherine Anderson,20
15045,Donna Jo Napoli,20
48509,Philip R. Craig,20
61640,Wayne W. Dyer,20
37284,Liz Curtis Higgs,20
62626,William Sleator,20
19740,G. B. Trudeau,20
15982,Ed Gorman,20
53243,Ross Thomas,20
3130,Anne Rivers Siddons,20
21984,Gustave Flaubert,20
56123,Stella Bagwell,20
48193,Peter Robinson,20
20391,Gene Wolfe,20
45556,Norma Klein,19
29095,Joan Wolf,19
60992,Virginia Henley,19
979,Aldous Huxley,19
9313,Charlotte Vale Allen,19
54182,Sandra Hill,19
55312,Sheri S. Tepper,19
3011,Anne Hampson,19
46456,Pat Warren,19
60502,Valerie Wolzien,19
51704,Robert Kraus,19
1991,Ana Seymour,19
9291,Charlotte Maclay,19
54692,Scott O'Dell,19
59164,Thomas Merton,19
25697,James Dale,19
61828,Whitley Strieber,19
30612,John R. Erickson,19
56782,Steve White,19
35687,Laurie John,19
48119,Peter Mayle,19
10227,Claire Delacroix,19
15810,E. M. Forster,19
42099,Melody Carlson,19
12333,David Bishop,19
12547,David Feldman,19
35005,L. Sprague De Camp,19
51019,Rita Herron,19
8198,Carolyn Davidson,19
43313,Mickey Zucker Reichert,19
62608,William Safire,19
4092,Ayn Rand,19
6374,Brad Strickland,19
46279,Pamela Sargent,19
13409,Dean Hughes,19
23454,Herman Wouk,19
17871,Eric Hill,19
28763,Jim Thompson,19
28279,Jerry Pournelle,19
17775,Enid Blyton,19
12227,David A. Carter,19
29250,Jodi Thomas,19
14462,Dick King-Smith,19
34553,Kim Stanley Robinson,19
33614,Kathryn Shay,19
37976,Lucy Cousins,19
26909,Janet Morris,19
59433,Time Life,19
32080,Judith Viorst,19
59932,Toni Morrison,19
1778,Amanda Scott,19
55670,Simon R. Green,19
16230,Edna Buchanan,19
11544,Dan Diamond,19
50020,Renee Roszel,19
39932,Marisa Carroll,19
41317,Mary Roberts Rinehart,19
6610,Brian Jacques,19
26684,Jane O'Connor,19
48641,Phoebe Conn,19
33349,Katherine Stone,19
24682,J. D. Robb,19
28561,Jim Alexander,19
16879,Elise Title,19
41249,Mary Mcbride,19
40674,Martin Gardner,19
12108,Dashiell Hammett,19
9278,Charlotte Hughes,19
34818,Kristin Hannah,19
31058,Jon Land,19
36731,Linda Barnes,19
34436,Kevin Siembieda,18
3083,Anne Marie Winston,18
23649,Holly Lisle,18
40632,Martin Amis,18
39824,Marilyn Sachs,18
55412,Shirl Henke,18
43714,Miranda Jarrett,18
32293,Julia Quinn,18
8813,Charles Bukowski,18
26419,Jan Karon,18
44399,Nancy Davis,18
52828,Rona Jaffe,18
47275,Paul Monette,18
30448,John Mcphee,18
1961,Amy Tan,18
20236,Gary Smalley,18
35712,Laurie R. King,18
31418,Joseph Hansen,18
41966,Mel Gilden,18
33494,Kathleen O'Neal Gear,18
36208,Leon Uris,18
48122,Peter Mcwilliams,18
39883,Mario Vargas Llosa,18
28002,Jennifer Mikels,18
29608,John Barnes,18
2206,Andrew H. Vachss,18
41873,Meagan Mckinney,18
57417,Susan Howatch,18
28382,Jessica Hart,18
18844,Flora Kidd,18
16626,Elaine Coffman,18
53473,Russell Hoban,18
31044,Jon Hassler,18
29318,Joe Haldeman,18
5873,Bill Wallace,18
31590,Josephine Tey,18
15267,Dorothy Dunnett,18
25758,James Ellroy,18
56427,Stephen Jones,18
16572,Eileen Goudge,18
44540,Nancy N. Rue,18
25601,James Blish,18
7836,Carol Grace,18
60746,Victor Hugo,18
33351,Katherine Sutcliffe,18
46977,Paul Auster,18
1237,Alfred Hitchcock,18
36252,Leonard Maltin,18
12635,David Halberstam,18
57159,Sue Miller,18
46025,P. G. Wodehouse,18
3681,Arnold Lobel,18
56284,Stephen Baxter,18
49338,Rainer Maria Rilke,18
10385,Claudia Jameson,18
55019,Sharon Kendrick,18
14637,Don Aslett,18
55475,Shirley Rousseau Murphy,18
15805,E. Lynn Harris,18
16925,Elizabeth Ann Scarborough,18
4367,Barbara Faith,18
29369,Joe R. Lansdale,18
60093,Tracie Peterson,18
39244,Margaret Frazer,18
57619,Susan Sizemore,18
57895,Suzy Kline,18
50206,Richard Bach,18
51475,Robert Frost,18
19941,Gail Godwin,18
49403,Ralph M. Mcinerny,18
50575,Richard Marcinko,18
28379,Jessica Fletcher,18
51674,Robert K. Tanenbaum,18
32963,Karen Young,18
39736,Marie-Louise Von Franz,18
36452,Leslie Meier,18
8598,Cathy Williams,18
1326,Alice Gray,18
4911,Bell Hooks,18
47671,Penelope Neri,18
46726,Patricia Telesco,17
17615,Emilie Barnes,17
17997,Erica Jong,17
61103,Vladimir Vladimirovich Nabokov,17
2273,Andrew Neiderman,17
35724,Laurien Berenson,17
36212,Leona Karr,17
13550,Deborah Crombie,17
18278,Eudora Welty,17
18635,Farley Mowat,17
21270,Ginna Gray,17
6183,Bob Woodward,17
33998,Kelsey Roberts,17
31233,Joni Eareckson Tada,17
12956,David Morrell,17
58492,Teresa Southwick,17
58182,Tad Williams,17
41288,Mary Packard,17
28899,Joan Aiken,17
41225,Mary Lyons,17
50621,Richard Nelson Bolles,17
61117,Vonda N. Mcintyre,17
46644,Patricia Matthews,17
33587,Kathryn Lasky,17
1777,Amanda Quick,17
41015,Mary Downing Hahn,17
28943,Joan Didion,17
13732,Debra Webb,17
61358,Walt Whitman,17
6372,Brad Steiger,17
61226,W. Somerset Maugham,17
7443,Candace Camp,17
22989,Helen Exley,17
