,Book-Author,Count
37739,Louis Sachar,311
32611,K. A. Applegate,311
24964,J.D. Salinger,310
35749,Lawrence Block,309
26587,Jane Feather,309
57781,Suzanne Brockmann,308
62217,William Gibson,306
37155,Lisa Jackson,305
9550,Chris Bohjalian,305
60364,Ursula Hegi,305
8910,Charles Frazier,303
50704,Richard Russo,301
46544,Patricia D. Cornwell,301
56324,Stephen Coonts,300
37135,Lisa Gardner,300
56217,Stephanie Laurens,300
34818,Kristin Hannah,298
11435,Dale Brown,298
60367,Ursula K. Le Guin,298
7699,Carly Phillips,293
57422,Susan Isaacs,291
28988,Joan Johnston,291
35368,Laura Esquivel,290
20178,Gary Larson,290
50206,Richard Bach,289
35391,Laura Hillenbrand,288
4518,Barbara Michaels,287
25960,James Lee Burke,287
22557,Harper Lee,286
10133,Chuck Palahniuk,285
12138,Dave Eggers,285
18572,F. Scott Fitzgerald,285
25860,James Herriot,284
16001,Ed Mcbain,281
9738,Christina Dodd,280
31556,Joseph Wambaugh,278
50954,Ridley Pearson,276
42041,Melissa Bank,275
8096,Caroline B. Cooney,273
29181,Joanne Harris,273
35394,Laura Ingalls Wilder,272
54793,Sebastian Junger,271
475,Adriana Trigiani,271
42448,Michael Cunningham,270
30214,John Jakes,269
46567,Patricia Gaffney,268
55055,Sharon Sala,268
37594,Lorna Landvik,268
57348,Susan Elizabeth Phillips,267
38752,Maggie Shayne,266
56923,Steven Paul Martini,263
34398,Kevin J. Anderson,262
12180,Dave Pelzer,262
42837,Michael Moore,260
56585,Stephen White,259
58598,Terry Goodkind,259
16142,Edith Wharton,259
31987,Judith Krantz,259
57670,Susan Wiggs,258
28613,Jim Davis,257
18007,Erica Spindler,256
37761,Louisa May Alcott,256
50652,Richard Paul Evans,256
19414,Franklin W. Dixon,255
59887,Tom Wolfe,255
41001,Mary Daheim,253
15276,Dorothy Garlock,253
45416,No Authors,253
50181,Richard Adams,251
41890,Meg Cabot,251
127,A. Manette Ansay,250
4092,Ayn Rand,250
7644,Carla Neggers,249
6360,Brad Meltzer,249
46011,P. D. James,248
29629,John Berendt,248
53613,Ruth Rendell,247
50678,Richard Preston,245
5199,Bernhard Schlink,243
7440,Candace Bushnell,243
21101,Gertrude Chandler Warner,243
58480,Teresa Medeiros,242
15519,Douglas Preston,242
61046,Virginia Woolf,241
27793,Jeffrey Eugenides,240
29819,John D. Macdonald,240
58221,Tamar Myers,240
37162,Lisa Kleypas,239
31137,Jonathan Franzen,239
5875,Bill Watterson,237
7850,Carol Higgins Clark,236
15598,Dr. Seuss,236
54920,Shannon Drake,234
27140,Jasper Fforde,233
33320,Katherine Kurtz,233
60325,Umberto Eco,232
48119,Peter Mayle,230
44858,Neal Stephenson,230
17506,Ellis Peters,227
55312,Sheri S. Tepper,226
41359,Mary Stewart,225
7965,Carol Shields,225
50260,Richard Carlson,225
41771,Max Lucado,224
37799,Louise Erdrich,223
35712,Laurie R. King,223
44788,Nathaniel Hawthorne,223
60698,Vicki Lewis Thompson,221
4407,Barbara Hambly,221
44603,Nancy Taylor Rosenberg,221
17794,Eoin Colfer,219
32293,Julia Quinn,219
5077,Bentley Little,218
56718,Steve Martin,218
30861,John Updike,216
2788,Ann-Marie Macdonald,215
26780,Janelle Taylor,215
15095,Donna Tartt,214
43690,Minette Walters,212
3051,Anne Lamott,212
6528,Bret Lott,211
15277,Dorothy Gilman,211
30812,John T. Lescroart,211
7602,Carl Sagan,210
56128,Stella Cameron,210
26156,James Redfield,209
4359,Barbara Ehrenreich,209
21756,Greg Bear,209
33080,Kasey Michaels,209
39688,Marie Ferrarella,208
4031,Augusten Burroughs,208
20203,Gary Paulsen,208
60810,Victoria Holt,207
34996,L. Ron Hubbard,207
17641,Emily Bronte,207
49882,Rebecca York,207
42423,Michael Chabon,205
27931,Jennifer Blake,205
9767,Christina Schwarz,204
5269,Bertrice Small,204
3272,Anonymous,204
48663,Phyllis A. Whitney,203
33089,Kat Martin,203
25157,Jack Kerouac,202
24077,Ian Mcewan,201
9256,Charlotte Bronte,201
605,Al Franken,201
57659,Susan Vreeland,200
2051,Andre Norton,199
19602,Frederick Forsyth,199
12357,David Brin,199
62222,William Goldman,198
39074,Marcia Muller,198
17953,Eric Schlosser,197
41147,Mary Jo Putney,197
51326,Robert Crais,196
53170,Rosemary Rogers,196
6456,Brenda Joyce,196
50533,Richard Laymon,196
61828,Whitley Strieber,196
10735,Connie Willis,195
48619,Phillip Margolin,194
42873,Michael Ondaatje,194
38339,Lynne Reid Banks,193
61441,Walter Mosley,193
3649,Armistead Maupin,193
28205,Jerry B. Jenkins,192
32012,Judith Michael,192
29122,Joanna Cole,191
42692,Michael Jan Friedman,190
15730,E. B. White,190
3604,Arlene Eisenberg,190
51674,Robert K. Tanenbaum,190
15456,Douglas Coupland,189
30051,John Gray,189
979,Aldous Huxley,188
51193,Robert Asprin,188
12114,Dav Pilkey,188
25785,James Finn Garner,188
40652,Martin Cruz Smith,188
25177,Jack London,187
21496,Golden Books,187
42161,Mercer Mayer,186
51840,Robert Mccammon,186
5689,Bill Cosby,186
8854,Charles De Lint,185
14296,Diane Duane,185
9952,Christopher Golden,185
48467,Philip K. Dick,185
28474,Jill Conner Browne,183
13476,Debbie Dadey,183
45912,Oscar Wilde,183
57304,Susan Cooper,183
51858,Robert Morgan,183
28297,Jerry Spinelli,183
54692,Scott O'Dell,182
16572,Eileen Goudge,181
28842,Jo Beverley,181
19030,Frances Mayes,181
52055,Robert Silverberg,180
57704,Susanna Kaysen,180
11220,Cynthia Voigt,180
28472,Jill Churchill,179
40870,Mary Alice Monroe,179
37841,Louise Rennison,179
57240,Susan Andersen,179
55311,Sheri Reynolds,178
10722,Connie Mason,178
26614,Jane Heller,178
40922,Mary Balogh,178
25666,James Clavell,177
39880,Mario Puzo,176
58182,Tad Williams,176
8413,Catherine Anderson,176
11411,Dai Sijie,176
37034,Lindsay Mckenna,175
56524,Stephen R. Donaldson,175
57675,Susan Wittig Albert,174
41252,Mary Mcgarry Morris,174
62808,Winston Groom,173
45581,Norman Bridwell,173
52348,Robin Mckinley,173
23457,Hermann Hesse,172
2998,Anne George,172
57499,Susan Mallery,172
5504,Betty Neels,172
28785,Jim Wilson,171
19012,Frances Hodgson Burnett,170
3153,Anne Stuart,170
33338,Katherine Paterson,169
37348,Lloyd Alexander,169
36797,Linda Fairstein,168
8067,Carole Nelson Douglas,168
55370,Sherryl Woods,168
37387,Lois Duncan,168
62122,William Diehl,168
44026,Morgan Llywelyn,168
41405,Mary Wollstonecraft Shelley,168
56740,Steve Perry,167
59339,Tim F. Lahaye,167
29736,John Case,167
58059,T. Coraghessan Boyle,166
27295,Jean Craighead George,166
29110,Joann Ross,166
2591,Ann Brashares,165
4935,Ben Bova,165
8739,Charlaine Harris,164
10855,Cormac Mccarthy,164
14620,Dominick Dunne,164
4072,Avi,164
18126,Ernest J. Gaines,163
11649,Dan Simmons,163
61928,Willa Cather,162
44526,Nancy Martin,161
2572,Ann B. Ross,161
22063,Gwyn Hyman Rubio,160
56522,Stephen R. Covey,160
6853,Bruce Coville,159
19073,Francesca Lia Block,159
8065,Carole Mortimer,159
47546,Paulo Coelho,159
16070,Edgar Allan Poe,159
50061,Rex Stout,158
59512,Timothy Zahn,158
8205,Carolyn G. Hart,158
60992,Virginia Henley,158
1350,Alice Mcdermott,157
15244,Dorothy Allison,157
49002,R. A. Salvatore,157
58323,Tawni O'Dell,157
36177,Leo Tolstoy,157
62185,William Faulkner,156
58275,Tanya Huff,156
4538,Barbara Park,155
5043,Benjamin Hoff,155
54182,Sandra Hill,155
63173,Zora Neale Hurston,154
19525,Fred Saberhagen,154
60397,V. C. Andrews,154
1184,Alexandre Dumas,152
33279,Katherine Applegate,152
38237,Lynn Kurland,151
32823,Karen Harper,151
22717,Harry Turtledove,151
47448,Paula Danziger,150
47708,Penny Jordan,149
22122,H. G. Wells,149
55682,Simon Winchester,149
62622,William Shatner,149
48521,Philip Roth,149
23259,Henry James,149
2989,Anne Frank,148
16799,Elie Wiesel,148
51783,Robert Louis Stevenson,148
57999,Sylvia Plath,147
36208,Leon Uris,147
25908,James Joyce,147
45160,Nick Bantock,147
30203,John J. Nance,146
5590,Beverly Lewis,146
2719,Ann Packer,146
48849,Poul Anderson,145
47325,Paul Reiser,145
62216,William Gerald Golding,145
36006,Lee Smith,145
60781,Victoria Alexander,145
12956,David Morrell,145
56719,Steve Martini,145
58252,Tamora Pierce,145
1176,Alexandra Ripley,145
41732,Max Allan Collins,145
32596,Justine Korman,144
13660,Deborah Smith,144
34295,Kent Haruf,143
8705,Chaim Potok,143
34553,Kim Stanley Robinson,142
32255,Julia Glass,142
13767,Deepak Chopra,142
30248,John Kennedy Toole,142
52650,Roger Zelazny,141
45769,Olive Ann Burns,141
59065,Thomas Hardy,141
8515,Catherine Ryan Hyde,140
49248,Rachel Gibson,140
11892,Daniel Quinn,140
24026,Iain Pears,139
40173,Mark Haddon,139
44148,Muriel Jensen,139
38650,Madeline Baker,139
43130,Michel Faber,139
59315,Tim Allen,139
39299,Margaret Maron,138
28971,Joan Hess,138
26029,James Mcbride,138
41294,Mary Pope Osborne,138
35593,Lauren Weisberger,138
48560,Philippa Gregory,138
55344,Sherrilyn Kenyon,137
20997,Geraldine Brooks,137
33494,Kathleen O'Neal Gear,137
47380,Paul Theroux,137
61344,Walt Disney,137
38075,Lurlene Mcdaniel,137
6642,Brian Lumley,136
6426,Breena Clarke,136
39398,Marge Piercy,136
4058,Author Unknown,135
36106,Len Deighton,135
3915,Arundhati Roy,135
56407,Stephen Hunter,134
6410,Bram Stoker,134
900,Albert Camus,134
59617,Todd Strasser,134
49259,Rachel Lee,134
45029,Ngaio Marsh,133
48705,Phyllis Reynolds Naylor,133
40691,Martin H. Greenberg,133
10265,Clamp,133
17716,Emma Darcy,133
47565,Pearl Cleage,132
56349,Stephen E. Ambrose,132
18565,F. Paul Wilson,132
31422,Joseph Heller,132
32228,Jules Verne,131
23454,Herman Wouk,131
7443,Candace Camp,130
24315,Ira Levin,130
10449,Cleveland Amory,130
61719,Wendy Holden,130
15049,Donna Kauffman,130
15794,E. L. Doctorow,130
50721,Richard Scarry,130
23220,Henry David Thoreau,129
41223,Mary Lynn Baxter,129
31360,Joseph Conrad,129
46855,Patrick O'Brian,129
42023,Melinda Haynes,128
11688,Dana Fuller Ross,128
4539,Barbara Parker,127
33349,Katherine Stone,127
60082,Tracey West,127
60042,Tori Carrington,127
38509,M. Scott Peck,127
14873,Donald J. Sobol,126
61199,W. Michael Gear,126
61346,Walt Disney Productions,126
17622,Emilie Richards,126
57440,Susan Johnson,125
4004,Audrey Niffenegger,125
38356,Lynsay Sands,125
38395,M. C. Beaton,124
57972,Sylvia Browne,124
49879,Rebecca Winters,124
1040,Alex Kava,124
28505,Jill Marie Landis,124
59393,Tim O'Brien,124
16814,Elinor Lipman,123
55899,Spider Robinson,123
7322,C.S. Lewis,123
60884,Vince Flynn,123
33119,Kate Chopin,122
62022,William Bernhardt,122
33234,Kate Wilhelm,122
9292,Charlotte Macleod,122
14285,Diane Carey,121
43944,Monica Ferris,121
43545,Milan Kundera,121
55213,Shel Silverstein,120
16492,Edwidge Danticat,120
32234,Julia Alvarez,120
27092,Jasmine Cresswell,120
31651,Jostein Gaarder,120
53724,S. E. Hinton,120
27657,Jeff Deaver,120
6083,Bob Greene,119
23738,Howard Fast,119
55894,Spencer Johnson,119
28797,Jimmy Buffett,119
23446,Herman Melville,119
36051,Leigh Greenwood,119
14668,Don Delillo,119
8318,Carson Mccullers,118
42000,Melanie Rawn,118
3838,Arthur Miller,118
48026,Peter Hoeg,118
26765,Jane Yolen,117
42204,Merline Lovelace,117
46072,P.D. James,117
30263,John Knowles,117
27725,Jeff Rovin,117
35507,Laura Zigman,117
32125,Judy Collins,117
19267,Frank E. Peretti,116
49784,Rebecca Brandewyne,116
6600,Brian Herbert,116
15230,Dorothea Benton Frank,116
32449,Julie Smith,116
54157,Sandra Cisneros,115
22133,H. Jackson Brown,115
53952,Salman Rushdie,115
44554,Nancy Pickard,115
16948,Elizabeth Bevarly,115
16626,Elaine Coffman,115
36527,Lewis Carroll,115
34065,Ken Kesey,115
13259,David Weber,115
22539,Harold Robbins,115
14322,Diane Johnson,114
54637,Scott Cunningham,114
9517,Chitra Banerjee Divakaruni,114
32122,Judy Christenberry,114
46264,Pamela Morsi,114
58095,T. Jefferson Parker,114
46517,Patricia C. Wrede,114
61835,Whitney Otto,114
61702,Wendy Corsi Staub,113
4287,Barbara Bretton,113
50584,Richard Matheson,113
15935,Earlene Fowler,113
34967,L. Frank Baum,113
19096,Francine Rivers,113
39890,Marion Chesney,113
14532,Dinah Mccall,113
38085,Lydia Adamson,112
22654,Harry Harrison,112
2860,Anna Maxted,112
49703,Raymond E. Feist,112
51260,Robert C. Atkins,112
31982,Judith Kelman,112
11711,Dana Stabenow,112
54390,Sarah Ban Breathnach,112
54534,Sark,111
25874,James Howe,111
56528,Stephen R. Lawhead,111
1741,Amanda Ashley,111
28017,Jennifer Roberson,111
15296,Dorothy L. Sayers,111
29836,John Darnton,111
37521,Lorenzo Carcaterra,111
11293,D. H. Lawrence,110
37417,Lois Mcmaster Bujold,110
17348,Ellen Datlow,110
57300,Susan Conant,110
61850,Wilbur A. Smith,110
12005,Daphne Du Maurier,110
56330,Stephen Crane,110
51936,Robert Pirsig,109
34956,L. E. Modesitt Jr.,109
36535,Lewis Grizzard,109
16451,Edward Rutherfurd,109
35932,Lee Child,109
28978,Joan Hohl,109
47423,Paul Zindel,109
3200,Annette Broadrick,109
48584,Phillip C. Mcgraw,108
2740,Ann Rinaldi,108
14270,Diana Wynne Jones,108
8104,Caroline Burnes,108
59113,Thomas Keneally,107
14733,Don Pendleton,107
18023,Erich Segal,107
5551,Beverly Barton,107
41944,Meggin Cabot,106
22784,Haven Kimmel,106
17349,Ellen Degeneres,106
27522,Jeanette Winterson,106
6974,Bruce Wilkinson,106
60746,Victor Hugo,105
33726,Katie Macalister,105
10227,Claire Delacroix,105
4222,Banana Yoshimoto,105
55307,Sheri Holman,105
19976,Gail Tsukiyama,105
62760,Wilson Rawls,105
17364,Ellen Gilchrist,105
6526,Bret Easton Ellis,105
54472,Sarah Mlynowski,105
32848,Karen Kijewski,105
38208,Lynn Erickson,105
44186,Myla Goldberg,104
22229,Ha Jin,104
4203,Bailey White,104
54986,Sharon Creech,104
4870,Beatrix Potter,104
22352,Hannah Howell,103
53584,Ruth Langan,103
41126,Mary Jane Clark,103
33235,Kate William,103
41157,Mary Karr,103
27586,Jeanne Ray,103
46916,Patti Berg,102
6214,Bodie Thoene,102
5423,Better Homes And Gardens,102
18341,Eugenia Price,101
17718,Emma Donoghue,101
57996,Sylvia Nasar,101
41644,Maureen Child,101
20603,George Eliot,101
37697,Louis De Bernieres,101
34608,Kinky Friedman,101
55018,Sharon Kay Penman,101
10059,Christopher Stasheff,101
1751,Amanda Cross,101
28447,Jhumpa Lahiri,101
36424,Leslie Glass,101
33336,Katherine Neville,101
59538,Tina Wainscott,101
53408,Rudyard Kipling,100
47833,Peter Benchley,100
56412,Stephen J. Cannell,100
38318,Lynne Graham,100
33839,Kazuo Ishiguro,100
34914,Kyle Mills,100
4094,Azar Nafisi,100
18036,Erik Larson,100
11913,Daniel Silva,100
24470,Isabel Wolff,100
5310,Beth Gutcheon,100
15255,Dorothy Cannell,99
5086,Berke Breathed,99
21889,Gregory Mcdonald,99
16267,Edward Abbey,99
49709,Raymond Feist,99
14585,Dodie Smith,99
63092,Zadie Smith,99
9769,Christina Skye,99
1294,Alice Borchardt,99
8933,Charles Grant,99
12995,David P. Jordan,98
52655,Rohinton Mistry,98
57451,Susan Kearney,98
37157,Lisa Jewell,98
6183,Bob Woodward,98
21254,Gina Wilkins,98
45046,Nicci French,98
12726,David J. Pelzer,98
33351,Katherine Sutcliffe,98
58082,T. H. White,97
26778,Janelle Denison,97
14318,Diane Hoh,97
55321,Sherman Alexie,97
7198,C. J. Cherryh,97
24710,J. F. Freedman,97
20259,Gary Zukav,97
212,A.S. Byatt,97
3299,Anthony Bourdain,97
23668,Homer,96
44329,Nan Ryan,96
16230,Edna Buchanan,96
42766,Michael Lee West,96
47625,Peggy Parish,96
30878,John Vornholt,96
1997,Anais Nin,96
46977,Paul Auster,96
35708,Laurie Notaro,95
57802,Suzanne Forster,95
58300,Tara Taylor Quinn,95
28292,Jerry Seinfeld,95
31146,Jonathan Harr,94
60495,Valerie Tripp,94
8496,Catherine Marshall,94
49942,Reginald Hill,94
9507,Chinua Achebe,94
10049,Christopher Rice,94
19347,Frank Peretti,94
9856,Christine Rimmer,94
44449,Nancy Holder,94
15559,Dr Seuss,94
21857,Gregory Benford,94
3658,Arnette Lamb,94
25170,Jack L. Chalker,94
48616,Phillip M. Margolin,94
56328,Stephen Cosgrove,93
778,Alan Lightman,93
48837,Poppy Z. Brite,93
3911,Arturo Perez-Reverte,93
39818,Marilyn Pappano,93
51567,Robert Harris,93
23961,Hunter S. Thompson,93
7305,C.J. Cherryh,93
12115,Dava Sobel,93
8213,Carolyn Hart,93
21588,Gore Vidal,92
54160,Sandra Dallas,92
57156,Sue Margolis,92
35088,Lalita Tademy,92
45629,Norman Mailer,92
51216,Robert Barnard,92
8059,Carole Matthews,92
8586,Cathy Maxwell,92
24577,Iyanla Vanzant,92
19941,Gail Godwin,92
29250,Jodi Thomas,92
32883,Karen Marie Moning,92
58264,Tanith Lee,92
52257,Robertson Davies,91
19430,Franz Kafka,91
1509,Alistair Maclean,91
29892,John Dunning,91
28531,Jill Shalvis,91
33614,Kathryn Shay,91
54510,Sarah Waters,91
57417,Susan Howatch,91
29155,Joanna Trollope,91
36041,Leif Enger,91
7629,Carla Cassidy,91
54826,Sena Jeter Naslund,91
30025,John Gardner,91
2689,Ann Major,91
46693,Patricia Rice,91
58435,Tennessee Williams,90
31044,Jon Hassler,90
33430,Kathleen Eagle,90
17305,Elizabeth Wurtzel,90
51320,Robert Cormier,90
10592,Colin Dexter,90
26267,James W. Hall,90
56097,Stef Ann Holm,89
21984,Gustave Flaubert,89
32996,Karin Slaughter,89
38965,Marc Brown,89
3085,Anne Mather,89
31643,Josie Litton,89
38001,Lucy Maud Montgomery,89
63144,Zilpha Keatley Snyder,89
60435,Val Mcdermid,89
17307,Elizabeth Young,89
58340,Taylor Smith,89
8246,Carolyn Parkhurst,88
21673,Graham Greene,88
43034,Michael Teitelbaum,88
25758,James Ellroy,88
56284,Stephen Baxter,88
52465,Roddy Doyle,88
35710,Laurie Paige,88
26377,Jan Burke,88
15810,E. M. Forster,88
35344,Laura Childs,88
5123,Bernard Cornwell,88
17422,Ellen Raskin,88
46484,Patricia A. Mckillip,88
60244,Truman Capote,88
46691,Patricia Reilly Giff,87
42991,Michael Shaara,87
41873,Meagan Mckinney,87
17062,Elizabeth George Speare,87
43556,Mildred D. Taylor,87
35498,Laura Van Wormer,87
28406,Jessica Steele,87
45154,Nicholson Baker,87
33960,Kelli M. Gary,87
26168,James Rollins,87
42300,Michael A. Stackpole,86
22,A. A. Milne,86
3773,"Arthur Conan, Sir Doyle",86
59657,Tom Brokaw,86
45689,Nuala O'Faolain,86
2095,Andrea Kane,86
28248,Jerry Jenkins,86
13550,Deborah Crombie,86
27564,Jeanne Kalogridis,86
9362,Chelsea Quinn Yarbro,86
10781,Constance O'Day-Flannery,86
37109,Lisa Cach,86
29175,Joanne Fluke,86
61382,Walter Farley,86
19654,Frederik Pohl,85
14286,Diane Chamberlain,85
39249,Margaret George,85
11483,Dallas Schulze,85
10047,Christopher Reich,85
39455,Margot Dalton,85
52828,Rona Jaffe,85
40178,Mark Helprin,84
35503,Laura Wolf,84
3234,Annie Dillard,84
54556,Saul Bellow,84
33653,Kathy Hepinstall,84
34982,L. M. Montgomery,84
29006,Joan Lowery Nixon,84
5348,Bethany Campbell,84
46869,Patrick Robinson,84
50207,Richard Bachman,84
36731,Linda Barnes,84
7342,Cait London,84
25858,James Herbert,84
27962,Jennifer Greene,84
31299,Jose Saramago,84
7928,Carol O'Connell,83
59166,Thomas Moore,83
27405,Jean Plaidy,83
14656,Don Coldsmith,83
61745,Wendy Northcutt,83
57463,Susan Krinard,83
27937,Jennifer Chiaverini,83
59189,Thomas Perry,83
8576,Cathy Gillen Thacker,83
3417,Antoine De Saint-Exupã©Ry,83
31905,Judith Bowen,83
20072,Garth Nix,83
58983,Thomas Cahill,83
1550,Allan Folsom,83
3799,Arthur Hailey,83
53452,Russell Banks,82
28461,Jill Barnett,82
22732,Haruki Murakami,82
39383,Margaret Wise Brown,82
20766,George R.R. Martin,82
28707,Jim Miller,82
30322,John Lescroart,82
37284,Liz Curtis Higgs,82
6205,Bobby Hutchinson,81
39312,Margaret Mitchell,81
40320,Mark Salzman,81
37381,Lois Battle,81
16915,Elizabeth Adler,81
48051,Peter Jenkins,81
11775,Daniel Defoe,81
62683,William W. Johnstone,81
14724,Don Miguel Ruiz,81
42367,Michael Blake,81
61735,Wendy Markham,81
46682,Patricia Potter,81
55636,Simon Brett,81
17497,Elliott Roosevelt,80
39655,Marianne Williamson,80
22007,Guy Gavriel Kay,80
12489,David Drake,80
31163,Jonathan Lethem,80
9278,Charlotte Hughes,80
45504,Norah Hess,80
49167,R.A. Salvatore,80
49754,Reader'S Digest,80
17182,Elizabeth Marshall Thomas,80
10301,Clare Naylor,80
4874,Bebe Moore Campbell,80
43886,Molly Ivins,80
