,Book-Author,Count,Average
44908,Neil Gaiman,718,4.332869080779944
32401,Julie Garwood,717,2.903765690376569
27245,Jayne Ann Krentz,709,2.0437235543018337
15431,Douglas Adams,706,4.001416430594901
27941,Jennifer Crusie,693,2.4776334776334776
24446,Isaac Asimov,690,2.8376811594202898
59984,Tony Hillerman,681,2.6490455212922175
2745,Ann Rule,675,2.685925925925926
35549,Laurell K. Hamilton,670,4.204477611940298
39928,Marion Zimmer Bradley,666,3.1021021021021022
35828,Lawrence Sanders,659,1.4597875569044005
16946,Elizabeth Berg,657,2.8234398782343986
59068,Thomas Harris,653,2.9203675344563553
18675,Faye Kellerman,653,2.301684532924962
22990,Helen Fielding,642,3.2461059190031154
57097,Stuart Woods,638,2.5094043887147337
42434,Michael Connelly,637,3.0470957613814758
4926,Belva Plain,634,1.9179810725552051
58632,Terry Pratchett,631,3.866877971473851
42160,Mercedes Lackey,625,3.816
14355,Diane Mott Davidson,624,2.6794871794871793
2871,Anna Quindlen,620,2.8854838709677417
7259,C. S. Lewis,613,3.946166394779772
19316,Frank Mccourt,611,3.204582651391162
46536,Patricia Cornwell,605,2.6661157024793387
27375,Jean M. Auel,603,3.0514096185737976
49603,Ray Bradbury,597,3.544388609715243
51208,Robert B. Parker,594,3.0925925925925926
3116,Anne Perry,594,2.5993265993265995
43772,Mitch Albom,591,4.436548223350254
5563,Beverly Cleary,590,2.869491525423729
50625,Richard North Patterson,587,1.6643952299829643
17162,Elizabeth Lowell,581,2.1308089500860583
54721,Scott Turow,574,1.646341463414634
59932,Toni Morrison,572,2.7097902097902096
7575,Carl Hiaasen,570,3.1157894736842104
45089,Nicholas Evans,565,2.5469026548672566
1129,Alexander Mccall Smith,552,3.6467391304347827
26517,Jane Austen,552,3.2119565217391304
8226,Carolyn Keene,547,2.1389396709323583
10039,Christopher Pike,542,2.6826568265682655
30780,John Steinbeck,542,3.8136531365313653
14239,Diana Palmer,535,2.3121495327102806
27751,Jeffery Deaver,531,2.6685499058380415
32008,Judith Mcnaught,530,2.5584905660377357
18619,Fannie Flagg,528,2.856060606060606
51655,Robert James Waller,524,2.50381679389313
38641,Madeleine L'Engle,522,3.9636015325670497
4596,Barbara Taylor Bradford,519,1.325626204238921
35255,Larry Mcmurtry,518,2.3745173745173744
24682,J. D. Robb,513,2.912280701754386
44981,Nelson Demille,506,2.389328063241107
36884,Linda Lael Miller,505,1.9168316831683168
40357,Mark Twain,504,3.6666666666666665
51029,Rita Mae Brown,503,2.2823061630218686
36098,Lemony Snicket,501,3.3652694610778444
26824,Janet Dailey,499,0.9298597194388778
25530,James A. Michener,498,1.8393574297188755
39377,Margaret Weis,497,3.5010060362173037
17224,Elizabeth Peters,495,2.5272727272727273
13141,David Sedaris,494,4.105263157894737
3130,Anne Rivers Siddons,493,1.8255578093306288
60096,Tracy Chevalier,488,3.7540983606557377
34894,Kurt Vonnegut,487,3.806981519507187
58572,Terry Brooks,485,2.6144329896907217
37896,Luanne Rice,484,2.053719008264463
57160,Sue Monk Kidd,482,4.439834024896266
55090,Sharyn Mccrumb,482,2.263485477178423
55861,Sophie Kinsella,478,3.399581589958159
12123,Dave Barry,477,2.939203354297694
8859,Charles Dickens,474,2.478902953586498
53056,Rosamunde Pilcher,471,1.970276008492569
24874,J. R. R. Tolkien,468,4.617521367521367
17742,Emma Mclaughlin,466,3.3433476394849784
5895,Billie Letts,465,3.7096774193548385
17522,Elmore Leonard,464,2.023706896551724
26609,Jane Hamilton,459,2.178649237472767
21887,Gregory Maguire,458,3.421397379912664
26730,Jane Smiley,457,2.2319474835886215
48508,Philip Pullman,453,3.8101545253863134
19291,Frank Herbert,453,3.5055187637969096
31055,Jon Krakauer,453,3.4503311258278146
24456,Isabel Allende,452,2.506637168141593
2528,Anita Diamant,451,3.7937915742793793
51056,Roald Dahl,449,3.3006681514476615
51148,Robert A. Heinlein,449,3.596881959910913
28033,Jennifer Weiner,447,3.917225950782998
61158,W. E. B. Griffin,447,1.7516778523489933
25142,Jack Higgins,440,1.334090909090909
58671,Tess Gerritsen,438,2.4817351598173514
37719,Louis L'Amour,437,1.7963386727688788
33787,Kay Hooper,437,2.17162471395881
26419,Jan Karon,433,2.8729792147806004
5676,Bill Bryson,433,3.972286374133949
24939,J.A. Jance,432,2.1064814814814814
1395,Alice Walker,430,3.055813953488372
22430,Harlan Coben,428,3.0700934579439254
22853,Heather Graham,426,1.6408450704225352
35029,L.M. Montgomery,426,3.267605633802817
51662,Robert Jordan,425,3.1270588235294117
45182,Nick Hornby,424,3.0943396226415096
37211,Lisa Scottoline,422,2.654028436018957
12516,David Eddings,421,3.0332541567695963
2255,Andrew M. Greeley,414,1.642512077294686
39365,Margaret Truman,413,1.6077481840193704
39588,Marian Keyes,412,2.3470873786407767
31720,Joyce Carol Oates,410,2.351219512195122
55970,Stan Berenstain,409,2.41320293398533
57159,Sue Miller,405,2.202469135802469
26835,Janet Fitch,404,3.631188118811881
12619,David Guterson,404,2.618811881188119
19859,Gabriel Garcia Marquez,397,3.1763224181360203
26603,Jane Green,393,3.3384223918575064
47916,Peter David,390,2.68974358974359
45003,Nevada Barr,388,3.0283505154639174
14200,Diana Gabaldon,388,3.88659793814433
46375,Pat Conroy,388,2.518041237113402
32916,Karen Robards,386,1.4481865284974094
54357,Sara Paretsky,386,2.437823834196891
10018,Christopher Moore,385,3.522077922077922
40546,Martha Grimes,383,2.289817232375979
49189,R.L. Stine,381,1.2519685039370079
45805,Olivia Goldsmith,377,2.1777188328912467
17061,Elizabeth George,375,2.3493333333333335
51476,Robert Fulghum,370,2.8972972972972975
35261,Larry Niven,368,2.692934782608696
25418,Jacquelyn Mitchard,368,1.9592391304347827
59839,Tom Robbins,366,3.920765027322404
20055,Garrison Keillor,365,2.23013698630137
21790,Greg Iles,362,2.861878453038674
31673,Joy Fielding,360,2.186111111111111
10516,Clive Barker,359,2.818941504178273
42884,Michael Palmer,358,1.9972067039106145
1777,Amanda Quick,357,2.585434173669468
58622,Terry Mcmillan,356,1.8679775280898876
62941,Yann Martel,356,3.8623595505617976
7361,Caleb Carr,355,2.6816901408450704
30310,John Le Carre,355,1.5352112676056338
3254,Annie Proulx,352,2.7130681818181817
10654,Colleen Mccullough,350,2.02
20741,George Orwell,348,4.5344827586206895
3766,Arthur C. Clarke,348,2.543103448275862
13985,Dennis Lehane,348,3.2844827586206895
697,Alan Dean Foster,346,2.421965317919075
18093,Erma Bombeck,345,2.591304347826087
33690,Kathy Reichs,345,2.371014492753623
6610,Brian Jacques,344,3.0232558139534884
33823,Kaye Gibbons,343,2.577259475218659
37413,Lois Lowry,342,3.7514619883040936
29249,Jodi Picoult,340,3.3088235294117645
27768,Jeffrey Archer,339,1.59882005899705
18117,Ernest Hemingway,336,3.8392857142857144
25277,Jackie Collins,334,3.086826347305389
33429,Kathleen E. Woodiwiss,332,1.5843373493975903
26964,Janette Oke,330,2.6666666666666665
2721,Ann Patchett,327,3.388379204892966
9807,Christine Feehan,326,4.168711656441718
2039,Andre Dubus Iii,323,2.7585139318885448
47755,Perri O'Shaughnessy,321,2.0498442367601246
8391,Cassie Edwards,321,1.6261682242990654
54615,Scott Adams,320,3.86875
48240,Peter Straub,317,1.750788643533123
41834,Maya Angelou,312,3.0256410256410255
37547,Lori Foster,312,3.746794871794872
37739,Louis Sachar,311,3.2765273311897105
32611,K. A. Applegate,311,1.4083601286173633
24964,J.D. Salinger,310,4.425806451612903
35749,Lawrence Block,309,2.3106796116504853
26587,Jane Feather,309,1.7119741100323624
57781,Suzanne Brockmann,308,2.50974025974026
62217,William Gibson,306,2.934640522875817
37155,Lisa Jackson,305,1.8065573770491803
9550,Chris Bohjalian,305,3.0688524590163935
60364,Ursula Hegi,305,2.636065573770492
8910,Charles Frazier,303,3.145214521452145
50704,Richard Russo,301,3.495016611295681
46544,Patricia D. Cornwell,301,2.7541528239202657
56324,Stephen Coonts,300,1.8966666666666667
37135,Lisa Gardner,300,2.6733333333333333
56217,Stephanie Laurens,300,2.1266666666666665
34818,Kristin Hannah,298,2.2315436241610738
11435,Dale Brown,298,1.080536912751678
60367,Ursula K. Le Guin,298,3.3187919463087248
7699,Carly Phillips,293,2.054607508532423
57422,Susan Isaacs,291,1.5841924398625429
28988,Joan Johnston,291,1.8762886597938144
35368,Laura Esquivel,290,3.182758620689655
20178,Gary Larson,290,4.072413793103448
50206,Richard Bach,289,3.7058823529411766
35391,Laura Hillenbrand,288,3.5520833333333335
4518,Barbara Michaels,287,1.6236933797909407
25960,James Lee Burke,287,2.5505226480836236
22557,Harper Lee,286,4.688811188811189
10133,Chuck Palahniuk,285,4.063157894736842
12138,Dave Eggers,285,3.329824561403509
18572,F. Scott Fitzgerald,285,3.778947368421053
25860,James Herriot,284,3.140845070422535
16001,Ed Mcbain,281,2.2491103202846974
9738,Christina Dodd,280,1.8571428571428572
31556,Joseph Wambaugh,278,1.356115107913669
50954,Ridley Pearson,276,2.369565217391304
42041,Melissa Bank,275,2.8181818181818183
8096,Caroline B. Cooney,273,2.659340659340659
29181,Joanne Harris,273,3.0842490842490844
35394,Laura Ingalls Wilder,272,3.4926470588235294
54793,Sebastian Junger,271,2.3284132841328415
475,Adriana Trigiani,271,3.2583025830258303
42448,Michael Cunningham,270,2.9962962962962965
30214,John Jakes,269,1.550185873605948
46567,Patricia Gaffney,268,2.1007462686567164
55055,Sharon Sala,268,2.123134328358209
37594,Lorna Landvik,268,2.9328358208955225
57348,Susan Elizabeth Phillips,267,2.7340823970037453
38752,Maggie Shayne,266,1.9661654135338347
56923,Steven Paul Martini,263,2.091254752851711
34398,Kevin J. Anderson,262,2.4618320610687023
12180,Dave Pelzer,262,3.66412213740458
42837,Michael Moore,260,4.35
56585,Stephen White,259,2.0617760617760617
58598,Terry Goodkind,259,3.7683397683397684
16142,Edith Wharton,259,2.7915057915057915
31987,Judith Krantz,259,1.5945945945945945
57670,Susan Wiggs,258,2.1782945736434107
28613,Jim Davis,257,2.272373540856031
18007,Erica Spindler,256,1.74609375
37761,Louisa May Alcott,256,3.37890625
50652,Richard Paul Evans,256,2.9921875
19414,Franklin W. Dixon,255,1.2470588235294118
59887,Tom Wolfe,255,2.3372549019607844
41001,Mary Daheim,253,1.4940711462450593
15276,Dorothy Garlock,253,1.8893280632411067
45416,No Authors,253,3.3952569169960474
50181,Richard Adams,251,3.103585657370518
41890,Meg Cabot,251,3.4382470119521913
127,A. Manette Ansay,250,2.08
4092,Ayn Rand,250,4.392
7644,Carla Neggers,249,1.465863453815261
6360,Brad Meltzer,249,2.2971887550200805
46011,P. D. James,248,1.2661290322580645
29629,John Berendt,248,3.060483870967742
53613,Ruth Rendell,247,1.9878542510121457
50678,Richard Preston,245,2.9183673469387754
5199,Bernhard Schlink,243,2.539094650205761
7440,Candace Bushnell,243,2.156378600823045
21101,Gertrude Chandler Warner,243,1.2386831275720165
58480,Teresa Medeiros,242,2.0
15519,Douglas Preston,242,2.9008264462809916
61046,Virginia Woolf,241,2.1618257261410787
27793,Jeffrey Eugenides,240,3.5875
29819,John D. Macdonald,240,2.2375
58221,Tamar Myers,240,1.7125
37162,Lisa Kleypas,239,1.9707112970711298
31137,Jonathan Franzen,239,2.8619246861924688
5875,Bill Watterson,237,4.843881856540085
7850,Carol Higgins Clark,236,1.6864406779661016
15598,Dr. Seuss,236,4.940677966101695
54920,Shannon Drake,234,2.0384615384615383
27140,Jasper Fforde,233,3.3605150214592276
33320,Katherine Kurtz,233,3.2060085836909873
60325,Umberto Eco,232,2.521551724137931
48119,Peter Mayle,230,3.0434782608695654
44858,Neal Stephenson,230,3.8956521739130436
17506,Ellis Peters,227,2.0881057268722465
55312,Sheri S. Tepper,226,2.924778761061947
41359,Mary Stewart,225,2.408888888888889
7965,Carol Shields,225,1.951111111111111
50260,Richard Carlson,225,3.2044444444444444
41771,Max Lucado,224,3.5089285714285716
37799,Louise Erdrich,223,2.412556053811659
35712,Laurie R. King,223,2.5381165919282513
44788,Nathaniel Hawthorne,223,2.6995515695067263
60698,Vicki Lewis Thompson,221,2.072398190045249
4407,Barbara Hambly,221,2.9638009049773757
44603,Nancy Taylor Rosenberg,221,1.5972850678733033
17794,Eoin Colfer,219,3.2009132420091326
32293,Julia Quinn,219,2.5342465753424657
5077,Bentley Little,218,2.444954128440367
56718,Steve Martin,218,3.2844036697247705
30861,John Updike,216,2.1203703703703702
2788,Ann-Marie Macdonald,215,3.130232558139535
26780,Janelle Taylor,215,0.6790697674418604
15095,Donna Tartt,214,3.032710280373832
43690,Minette Walters,212,2.2452830188679247
3051,Anne Lamott,212,3.259433962264151
6528,Bret Lott,211,2.184834123222749
15277,Dorothy Gilman,211,2.4644549763033177
30812,John T. Lescroart,211,1.9289099526066351
7602,Carl Sagan,210,3.2714285714285714
56128,Stella Cameron,210,1.4619047619047618
26156,James Redfield,209,3.3157894736842106
4359,Barbara Ehrenreich,209,3.8851674641148324
21756,Greg Bear,209,3.263157894736842
33080,Kasey Michaels,209,1.5311004784688995
39688,Marie Ferrarella,208,1.7019230769230769
4031,Augusten Burroughs,208,3.9471153846153846
20203,Gary Paulsen,208,2.543269230769231
60810,Victoria Holt,207,1.1690821256038648
34996,L. Ron Hubbard,207,1.6376811594202898
17641,Emily Bronte,207,2.9516908212560384
49882,Rebecca York,207,1.5120772946859904
42423,Michael Chabon,205,3.1707317073170733
27931,Jennifer Blake,205,1.170731707317073
9767,Christina Schwarz,204,3.0392156862745097
5269,Bertrice Small,204,3.088235294117647
3272,Anonymous,204,2.9411764705882355
48663,Phyllis A. Whitney,203,1.251231527093596
33089,Kat Martin,203,1.0541871921182266
25157,Jack Kerouac,202,3.5792079207920793
24077,Ian Mcewan,201,3.0398009950248754
9256,Charlotte Bronte,201,3.6069651741293534
605,Al Franken,201,3.512437810945274
57659,Susan Vreeland,200,3.125
2051,Andre Norton,199,2.8894472361809047
19602,Frederick Forsyth,199,1.3266331658291457
12357,David Brin,199,2.9447236180904524
62222,William Goldman,198,2.95959595959596
39074,Marcia Muller,198,1.6919191919191918
17953,Eric Schlosser,197,3.781725888324873
41147,Mary Jo Putney,197,2.6802030456852792
51326,Robert Crais,196,2.7142857142857144
53170,Rosemary Rogers,196,1.1785714285714286
6456,Brenda Joyce,196,1.6275510204081634
50533,Richard Laymon,196,2.9183673469387754
61828,Whitley Strieber,196,1.9438775510204083
10735,Connie Willis,195,3.1333333333333333
48619,Phillip Margolin,194,1.8556701030927836
42873,Michael Ondaatje,194,2.6649484536082473
38339,Lynne Reid Banks,193,2.2694300518134716
61441,Walter Mosley,193,2.606217616580311
3649,Armistead Maupin,193,3.523316062176166
28205,Jerry B. Jenkins,192,2.4375
32012,Judith Michael,192,1.1875
29122,Joanna Cole,191,2.612565445026178
42692,Michael Jan Friedman,190,1.605263157894737
15730,E. B. White,190,3.636842105263158
3604,Arlene Eisenberg,190,3.805263157894737
51674,Robert K. Tanenbaum,190,2.636842105263158
15456,Douglas Coupland,189,3.238095238095238
30051,John Gray,189,2.3386243386243386
979,Aldous Huxley,188,4.223404255319149
51193,Robert Asprin,188,2.9202127659574466
12114,Dav Pilkey,188,2.393617021276596
25785,James Finn Garner,188,3.25
40652,Martin Cruz Smith,188,1.553191489361702
25177,Jack London,187,2.4171122994652405
21496,Golden Books,187,1.4438502673796791
42161,Mercer Mayer,186,3.172043010752688
51840,Robert Mccammon,186,2.6774193548387095
5689,Bill Cosby,186,2.096774193548387
8854,Charles De Lint,185,3.4054054054054053
14296,Diane Duane,185,3.383783783783784
9952,Christopher Golden,185,2.3567567567567567
48467,Philip K. Dick,185,4.351351351351352
28474,Jill Conner Browne,183,3.4371584699453552
13476,Debbie Dadey,183,1.185792349726776
45912,Oscar Wilde,183,3.360655737704918
57304,Susan Cooper,183,3.060109289617486
51858,Robert Morgan,183,3.081967213114754
28297,Jerry Spinelli,183,3.098360655737705
54692,Scott O'Dell,182,3.4945054945054945
16572,Eileen Goudge,181,1.270718232044199
28842,Jo Beverley,181,2.1933701657458564
19030,Frances Mayes,181,2.2320441988950277
52055,Robert Silverberg,180,2.5055555555555555
57704,Susanna Kaysen,180,3.1333333333333333
11220,Cynthia Voigt,180,1.8611111111111112
28472,Jill Churchill,179,2.7541899441340782
40870,Mary Alice Monroe,179,2.5977653631284916
37841,Louise Rennison,179,2.8435754189944134
57240,Susan Andersen,179,1.558659217877095
55311,Sheri Reynolds,178,2.7191011235955056
10722,Connie Mason,178,1.8876404494382022
26614,Jane Heller,178,2.196629213483146
40922,Mary Balogh,178,2.8146067415730336
25666,James Clavell,177,2.1242937853107344
39880,Mario Puzo,176,2.1363636363636362
58182,Tad Williams,176,3.2329545454545454
8413,Catherine Anderson,176,2.346590909090909
11411,Dai Sijie,176,3.9886363636363638
37034,Lindsay Mckenna,175,0.9942857142857143
56524,Stephen R. Donaldson,175,2.1885714285714286
57675,Susan Wittig Albert,174,2.6149425287356323
41252,Mary Mcgarry Morris,174,1.5747126436781609
62808,Winston Groom,173,1.8959537572254335
45581,Norman Bridwell,173,2.6820809248554913
52348,Robin Mckinley,173,4.138728323699422
23457,Hermann Hesse,172,4.296511627906977
2998,Anne George,172,2.302325581395349
57499,Susan Mallery,172,1.8255813953488371
5504,Betty Neels,172,1.9593023255813953
28785,Jim Wilson,171,1.2923976608187135
19012,Frances Hodgson Burnett,170,3.511764705882353
3153,Anne Stuart,170,1.1294117647058823
33338,Katherine Paterson,169,2.3905325443786984
37348,Lloyd Alexander,169,3.1893491124260356
36797,Linda Fairstein,168,2.3333333333333335
8067,Carole Nelson Douglas,168,1.8035714285714286
55370,Sherryl Woods,168,2.0595238095238093
37387,Lois Duncan,168,2.7023809523809526
62122,William Diehl,168,1.6547619047619047
44026,Morgan Llywelyn,168,1.9880952380952381
41405,Mary Wollstonecraft Shelley,168,3.238095238095238
56740,Steve Perry,167,1.5688622754491017
59339,Tim F. Lahaye,167,3.712574850299401
29736,John Case,167,2.089820359281437
58059,T. Coraghessan Boyle,166,2.6204819277108435
27295,Jean Craighead George,166,2.6867469879518073
29110,Joann Ross,166,1.7650602409638554
2591,Ann Brashares,165,3.993939393939394
4935,Ben Bova,165,2.5757575757575757
8739,Charlaine Harris,164,3.9390243902439024
10855,Cormac Mccarthy,164,1.9268292682926829
14620,Dominick Dunne,164,1.7073170731707317
4072,Avi,164,2.2621951219512195
18126,Ernest J. Gaines,163,2.723926380368098
11649,Dan Simmons,163,2.7791411042944785
61928,Willa Cather,162,3.45679012345679
44526,Nancy Martin,161,2.1180124223602483
2572,Ann B. Ross,161,3.093167701863354
22063,Gwyn Hyman Rubio,160,3.19375
56522,Stephen R. Covey,160,2.05
6853,Bruce Coville,159,1.6855345911949686
19073,Francesca Lia Block,159,4.062893081761007
8065,Carole Mortimer,159,0.8050314465408805
47546,Paulo Coelho,159,4.1257861635220126
16070,Edgar Allan Poe,159,3.0943396226415096
50061,Rex Stout,158,2.430379746835443
59512,Timothy Zahn,158,2.759493670886076
8205,Carolyn G. Hart,158,1.7278481012658229
60992,Virginia Henley,158,2.132911392405063
1350,Alice Mcdermott,157,2.3184713375796178
15244,Dorothy Allison,157,3.5796178343949046
49002,R. A. Salvatore,157,2.7961783439490446
58323,Tawni O'Dell,157,2.2229299363057327
36177,Leo Tolstoy,157,2.7261146496815285
62185,William Faulkner,156,2.532051282051282
58275,Tanya Huff,156,3.7243589743589745
4538,Barbara Park,155,2.632258064516129
5043,Benjamin Hoff,155,3.838709677419355
54182,Sandra Hill,155,2.3741935483870966
63173,Zora Neale Hurston,154,4.701298701298701
19525,Fred Saberhagen,154,1.9090909090909092
60397,V. C. Andrews,154,2.24025974025974
1184,Alexandre Dumas,152,2.7828947368421053
33279,Katherine Applegate,152,1.5394736842105263
38237,Lynn Kurland,151,2.1456953642384105
32823,Karen Harper,151,1.8675496688741722
22717,Harry Turtledove,151,2.23841059602649
47448,Paula Danziger,150,2.22
47708,Penny Jordan,149,1.0469798657718121
22122,H. G. Wells,149,2.1006711409395975
55682,Simon Winchester,149,3.422818791946309
62622,William Shatner,149,2.4630872483221475
48521,Philip Roth,149,2.389261744966443
23259,Henry James,149,2.0738255033557045
2989,Anne Frank,148,4.236486486486487
16799,Elie Wiesel,148,3.7905405405405403
51783,Robert Louis Stevenson,148,3.0945945945945947
57999,Sylvia Plath,147,3.891156462585034
36208,Leon Uris,147,2.0408163265306123
25908,James Joyce,147,2.8095238095238093
45160,Nick Bantock,147,5.394557823129252
30203,John J. Nance,146,2.0616438356164384
5590,Beverly Lewis,146,3.143835616438356
2719,Ann Packer,146,3.1027397260273974
48849,Poul Anderson,145,1.6620689655172414
47325,Paul Reiser,145,2.310344827586207
62216,William Gerald Golding,145,3.986206896551724
36006,Lee Smith,145,2.6413793103448278
60781,Victoria Alexander,145,1.6
12956,David Morrell,145,1.696551724137931
56719,Steve Martini,145,2.179310344827586
58252,Tamora Pierce,145,4.6482758620689655
1176,Alexandra Ripley,145,1.813793103448276
41732,Max Allan Collins,145,2.2
32596,Justine Korman,144,2.076388888888889
13660,Deborah Smith,144,2.3680555555555554
34295,Kent Haruf,143,3.0489510489510487
8705,Chaim Potok,143,3.132867132867133
34553,Kim Stanley Robinson,142,2.9859154929577465
32255,Julia Glass,142,2.6056338028169015
13767,Deepak Chopra,142,2.915492957746479
30248,John Kennedy Toole,142,3.8098591549295775
52650,Roger Zelazny,141,3.276595744680851
45769,Olive Ann Burns,141,2.49645390070922
59065,Thomas Hardy,141,2.198581560283688
8515,Catherine Ryan Hyde,140,3.0785714285714287
49248,Rachel Gibson,140,1.6785714285714286
11892,Daniel Quinn,140,5.014285714285714
24026,Iain Pears,139,2.158273381294964
40173,Mark Haddon,139,4.467625899280575
44148,Muriel Jensen,139,1.1223021582733812
38650,Madeline Baker,139,1.539568345323741
43130,Michel Faber,139,2.762589928057554
59315,Tim Allen,139,1.9712230215827338
39299,Margaret Maron,138,2.5652173913043477
28971,Joan Hess,138,2.2753623188405796
26029,James Mcbride,138,3.536231884057971
41294,Mary Pope Osborne,138,3.0072463768115942
35593,Lauren Weisberger,138,3.130434782608696
48560,Philippa Gregory,138,4.021739130434782
55344,Sherrilyn Kenyon,137,3.4306569343065694
20997,Geraldine Brooks,137,3.8394160583941606
33494,Kathleen O'Neal Gear,137,2.627737226277372
47380,Paul Theroux,137,2.153284671532847
61344,Walt Disney,137,1.8248175182481752
38075,Lurlene Mcdaniel,137,3.4452554744525545
6642,Brian Lumley,136,2.8161764705882355
6426,Breena Clarke,136,2.661764705882353
39398,Marge Piercy,136,1.5147058823529411
4058,Author Unknown,135,0.34814814814814815
36106,Len Deighton,135,1.2
3915,Arundhati Roy,135,2.7925925925925927
56407,Stephen Hunter,134,1.3805970149253732
6410,Bram Stoker,134,3.425373134328358
900,Albert Camus,134,3.343283582089552
59617,Todd Strasser,134,1.6343283582089552
49259,Rachel Lee,134,1.9701492537313432
45029,Ngaio Marsh,133,2.2781954887218046
48705,Phyllis Reynolds Naylor,133,2.661654135338346
40691,Martin H. Greenberg,133,1.9774436090225564
10265,Clamp,133,6.203007518796992
17716,Emma Darcy,133,0.6390977443609023
47565,Pearl Cleage,132,3.1666666666666665
56349,Stephen E. Ambrose,132,2.9318181818181817
18565,F. Paul Wilson,132,1.9848484848484849
31422,Joseph Heller,132,2.742424242424242
32228,Jules Verne,131,2.66412213740458
23454,Herman Wouk,131,1.748091603053435
7443,Candace Camp,130,1.353846153846154
24315,Ira Levin,130,1.9461538461538461
10449,Cleveland Amory,130,1.9307692307692308
61719,Wendy Holden,130,1.9923076923076923
15049,Donna Kauffman,130,2.1
15794,E. L. Doctorow,130,1.6923076923076923
50721,Richard Scarry,130,1.8923076923076922
23220,Henry David Thoreau,129,3.4573643410852712
41223,Mary Lynn Baxter,129,1.5116279069767442
31360,Joseph Conrad,129,2.643410852713178
46855,Patrick O'Brian,129,3.5891472868217056
42023,Melinda Haynes,128,1.8203125
11688,Dana Fuller Ross,128,1.2734375
4539,Barbara Parker,127,1.7322834645669292
33349,Katherine Stone,127,1.7559055118110236
60082,Tracey West,127,1.1338582677165354
60042,Tori Carrington,127,2.283464566929134
38509,M. Scott Peck,127,3.5984251968503935
14873,Donald J. Sobol,126,1.8333333333333333
61199,W. Michael Gear,126,1.9682539682539681
61346,Walt Disney Productions,126,1.3650793650793651
17622,Emilie Richards,126,2.015873015873016
57440,Susan Johnson,125,2.44
4004,Audrey Niffenegger,125,4.336
38356,Lynsay Sands,125,2.928
38395,M. C. Beaton,124,2.2661290322580645
57972,Sylvia Browne,124,4.209677419354839
49879,Rebecca Winters,124,1.653225806451613
1040,Alex Kava,124,2.064516129032258
28505,Jill Marie Landis,124,2.0080645161290325
59393,Tim O'Brien,124,3.3548387096774195
16814,Elinor Lipman,123,2.178861788617886
55899,Spider Robinson,123,2.6504065040650406
7322,C.S. Lewis,123,2.983739837398374
60884,Vince Flynn,123,2.5121951219512195
