,Decade-Of-Publication,Book-Rating
732,2000,7
735,2000,4
745,2000,1
754,2000,7
760,2000,3
761,2000,4
765,2000,5
766,2000,8
768,2000,1
782,2000,6
792,2000,9
799,2000,3
801,2000,2
802,2000,6
808,2000,8
809,2000,7
824,2000,4
826,2000,5
827,2000,6
829,2000,6
830,2000,5
831,2000,6
836,2000,3
837,2000,3
842,2000,1
844,2000,5
850,2000,8
852,2000,1
857,2000,8
860,2000,6
865,2000,8
867,2000,8
870,2000,5
875,2000,1
879,2000,7
883,2000,2
886,2000,8
892,2000,3
895,2000,2
902,2000,8
908,2000,7
913,2000,5
919,2000,6
938,2000,5
942,2000,4
943,2000,1
944,2000,7
945,2000,2
949,2000,1
950,2000,2
951,2000,6
961,2000,8
969,2000,2
970,2000,2
981,2000,5
983,2000,3
985,2000,4
994,2000,6
995,2000,6
998,2000,3
1002,2000,5
1008,2000,4
1014,2000,8
1023,2000,4
1035,2000,9
1037,2000,1
1043,2000,1
1044,2000,2
1046,2000,5
1049,2000,7
1059,2000,2
1067,2000,6
1069,2000,9
1076,2000,4
1081,2000,8
1086,2000,2
1092,2000,1
1093,2000,4
1097,2000,9
1098,2000,7
1101,2000,5
1113,2000,3
1122,2000,7
1138,2000,3
1141,2000,2
1144,2000,9
1155,2000,1
1162,2000,8
1187,2000,5
1190,2000,6
1195,2000,2
1200,2000,4
1207,2000,6
1209,2000,4
1217,2000,7
1220,2000,2
1221,2000,6
1222,2000,6
1225,2000,2
1230,2000,5
1234,2000,9
1248,2000,3
1249,2000,1
1251,2000,5
1255,2000,2
1270,2000,6
1275,2000,7
1277,2000,1
1279,2000,5
1287,2000,4
1290,2000,7
1294,2000,3
1303,2000,4
1305,2000,4
1308,2000,4
1309,2000,5
1313,2000,1
1314,2000,7
1329,2000,7
1335,2000,3
1338,2000,6
1345,2000,5
1350,2000,5
1352,2000,2
1360,2000,6
1363,2000,7
1364,2000,2
1369,2000,6
1373,2000,3
1379,2000,5
1380,2000,5
1389,2000,3
1397,2000,8
1401,2000,7
1418,2000,5
1423,2000,4
1425,2000,3
1429,2000,3
1431,2000,6
1448,2000,5
1457,2000,5
1474,2000,3
1475,2000,8
1482,2000,7
1486,2000,1
1487,2000,3
1488,2000,2
1497,2000,3
1500,2000,1
1504,2000,7
1514,2000,3
1515,2000,3
1516,2000,1
1523,2000,1
1535,2000,5
1536,2000,2
1540,2000,4
1551,2000,8
1552,2000,3
1554,2000,7
1558,2000,5
1561,2000,5
1567,2000,5
1571,2000,3
1573,2000,7
1574,2000,1
1575,2000,1
1579,2000,3
1582,2000,8
1596,2000,3
1598,2000,5
1600,2000,3
1604,2000,6
1606,2000,7
1616,2000,4
1619,2000,4
1628,2000,1
1638,2000,5
1662,2000,3
1665,2000,8
1669,2000,1
1670,2000,4
1671,2000,1
1672,2000,5
1676,2000,3
1684,2000,6
1688,2000,2
1694,2000,2
1696,2000,2
1697,2000,2
1700,2000,10
1703,2000,2
1708,2000,7
1711,2000,2
1715,2000,2
1718,2000,3
1719,2000,1
1723,2000,8
1728,2000,5
1729,2000,2
1753,1990,7
1754,1990,7
1761,1990,10
1762,1990,7
1765,1990,8
1766,1990,6
1772,1990,7
1773,1990,9
1778,1990,8
1779,1990,8
1781,1990,5
1789,1990,6
1794,1990,8
1796,1990,8
1820,1990,6
1825,1990,7
1827,1990,10
1829,1990,8
1837,1990,10
1838,1990,9
1841,1990,8
1853,1990,9
1855,1990,10
1857,1990,8
1859,1990,4
1862,1990,10
1874,1990,7
1879,1990,9
1882,1990,7
1887,1990,7
1891,2000,8
1898,2000,7
1901,2000,7
1904,2000,5
1905,2000,7
1908,2000,8
1909,2000,8
1911,2000,8
1917,2000,10
1919,2000,9
1921,2000,10
1928,2000,7
1931,2000,8
1938,2000,9
1941,2000,4
1942,2000,9
1946,2000,8
1951,2000,8
1952,2000,5
1954,2000,10
1956,2000,8
1958,2000,8
1960,2000,10
1961,2000,7
1962,2000,10
1967,2000,8
1968,2000,5
1970,2000,8
1973,2000,3
1974,2000,10
1976,2000,6
1979,2000,10
1982,2000,7
1983,2000,4
1986,2000,5
1993,2000,6
1994,2000,10
1995,2000,10
2002,2000,4
2010,2000,5
2014,2000,10
2016,2000,7
2018,2000,8
2020,2000,9
2023,2000,9
2039,2000,7
2042,2000,7
2044,2000,9
2045,2000,7
2055,2000,8
2060,2000,7
2062,2000,4
2074,2000,5
2076,2000,9
2081,2000,9
2086,2000,8
2099,2000,8
2103,2000,4
2107,2000,10
2109,2000,8
2111,2000,10
2112,2000,9
2114,2000,6
2120,2000,10
2126,2000,10
2135,2000,9
2139,2000,7
2142,2000,9
2149,2000,5
2157,2000,8
2160,2000,9
2162,2000,6
2164,2000,10
2165,2000,7
2167,2000,8
2168,2000,9
2170,2000,6
2172,2000,9
2176,2000,8
2177,2000,5
2182,2000,9
2184,2000,3
2196,2000,8
2198,2000,9
2200,2000,10
2205,2000,9
2207,2000,6
2213,2000,6
2222,2000,5
2223,2000,9
2224,2000,10
2226,2000,7
2234,2000,8
2235,2000,6
2244,2000,8
2246,2000,8
2248,2000,9
2253,2000,9
2256,2000,6
2258,2000,10
2262,2000,7
2269,2000,10
2270,2000,8
2283,2000,7
2285,2000,10
2287,2000,5
2296,2000,6
2309,1990,10
2316,1980,9
2318,1980,10
2323,1980,9
2326,1980,10
2332,1980,6
2335,1980,10
2344,1980,9
2350,1980,8
2358,1980,10
2366,1980,10
2370,1980,8
2380,1990,10
2384,1990,8
2390,1980,10
2397,1980,7
2398,1980,9
2400,1980,8
2402,1980,9
2403,1980,10
2404,1980,8
2408,1980,10
2409,1980,10
2420,1980,10
2435,1990,7
2440,1990,9
2442,1990,8
2444,1990,7
2447,1990,5
2449,1990,9
2458,1990,9
2466,2000,8
2467,2000,7
2468,2000,7
2471,2000,7
2476,2000,7
2480,2000,7
2483,1980,10
2485,1980,10
2490,1980,10
2503,1980,10
2504,1980,8
2505,1980,10
2507,1980,8
2509,1980,5
2511,1980,10
2512,1980,10
2514,1980,10
2515,1980,7
2522,1980,10
2523,1980,10
2524,1980,10
2530,1980,5
2534,1980,9
2537,1980,9
2539,1980,10
2543,1980,8
2544,1980,10
2548,1980,9
2550,1980,10
2552,1980,10
2556,1980,10
2558,1980,10
2565,1980,5
2569,1980,9
2570,1980,9
2575,1980,10
2577,1980,10
2578,1980,9
2579,1980,10
2581,1980,9
2582,1980,9
2584,1980,10
2585,1980,4
2587,1980,9
2589,1980,9
2590,1980,10
2594,1980,10
2596,1980,6
2599,1980,9
2600,1980,10
2602,1980,10
2604,1980,10
2607,1980,5
2609,1980,10
2613,1980,9
2615,1980,10
2616,1980,10
2617,1980,10
2624,1980,10
2625,1980,10
2626,1980,8
2627,1980,8
2628,1980,10
2629,1980,10
2630,1980,5
2631,1980,8
2632,1980,10
2634,1980,10
2641,1980,10
2646,1980,9
2647,1980,7
2653,1980,10
2656,1980,10
2658,1980,8
2659,1980,8
2660,1980,10
2661,1980,5
2663,1980,9
2665,1980,8
2667,1980,9
2672,1980,9
2674,1980,10
2675,1980,10
2676,1980,10
2677,1980,7
2682,1980,10
2685,1980,10
2686,1980,10
2689,1980,10
2693,1980,10
2702,1980,10
2705,1980,8
2710,1980,9
2713,1980,7
2714,1980,9
2715,1980,10
2716,1980,10
2719,1980,9
2722,1980,10
2723,1980,10
2727,1980,9
2730,1980,6
2733,1980,8
2740,1980,8
2744,1980,10
2745,1980,9
2747,1980,7
2749,1980,10
2750,1980,8
2751,1980,8
2754,1980,8
2756,1980,10
2759,1980,10
2765,1980,10
2767,1980,10
2768,1980,10
2769,1980,8
2773,2000,9
2775,2000,9
2780,2000,8
2789,2000,9
2796,2000,10
2797,2000,9
2801,2000,10
2806,2000,9
2807,2000,10
2811,2000,10
2815,2000,9
2817,2000,9
2820,2000,10
2821,2000,10
2825,2000,8
2826,2000,8
2828,2000,9
2829,2000,7
2832,2000,10
2833,2000,10
2834,2000,6
2835,2000,9
2845,2000,8
2846,2000,7
2850,2000,10
2853,2000,8
2859,2000,7
2861,2000,10
2864,2000,10
2866,2000,7
2871,2000,9
2873,2000,3
2874,2000,4
2878,2000,10
2879,2000,9
2880,2000,8
2882,2000,9
2883,2000,10
2884,2000,10
2891,2000,9
2892,2000,8
2894,2000,10
2901,2000,8
2906,2000,9
2907,2000,8
2909,2000,10
2911,2000,10
2912,2000,7
2916,2000,9
2919,2000,9
2920,2000,4
2926,2000,7
2929,2000,10
2930,2000,9
2931,2000,7
2933,2000,8
2936,2000,10
2937,2000,8
2942,2000,10
2949,2000,10
2953,2000,9
2958,2000,8
2968,2000,4
2971,2000,7
2972,2000,8
2973,2000,10
2975,2000,7
2979,2000,10
2980,2000,8
2985,2000,8
2993,1990,10
3002,1990,8
3018,1990,6
3019,1990,8
3026,1990,6
3029,1990,8
3031,1990,8
3032,1990,10
3049,1990,3
3051,1990,6
3066,1990,9
3076,1990,6
3082,2000,6
3084,2000,8
3090,2000,6
3095,2000,5
3098,2000,8
3100,2000,9
3105,1990,8
3109,1990,9
3117,1990,10
3134,1990,6
3142,1990,7
3144,1990,8
3158,1990,8
3174,1990,7
3175,1990,6
3201,1990,7
3203,1990,5
3204,1990,7
3210,1990,10
3211,1990,8
3213,1990,8
3219,2000,7
3224,2000,8
3225,2000,8
3229,2000,9
3234,2000,10
3238,2000,8
3240,2000,8
3248,2000,9
3249,2000,9
3252,2000,10
3262,2000,8
3265,2000,10
3266,2000,10
3269,2000,10
3270,2000,7
3271,2000,10
3272,2000,7
3278,2000,6
3280,2000,9
3281,2000,10
3285,2000,10
3290,2000,8
3293,2000,8
3300,2000,10
3303,2000,9
3305,2000,10
3307,2000,9
3309,2000,10
3311,2000,10
3312,2000,8
3316,2000,3
3322,2000,6
3332,2000,9
3334,2000,8
3337,2000,9
3343,2000,9
3345,2000,8
3346,2000,6
3352,2000,10
3354,2000,10
3356,2000,7
3365,2000,7
3368,2000,4
3369,2000,7
3371,2000,5
3375,2000,7
3376,2000,3
3377,2000,2
3383,2000,10
3388,2000,9
3398,2000,8
3401,2000,5
3412,2000,6
3414,2000,1
3421,2000,5
3427,2000,6
3432,2000,10
3433,2000,6
3445,2000,5
3448,2000,4
3456,2000,6
3469,2000,7
3476,2000,4
3477,2000,2
3484,2000,2
3493,2000,3
3494,2000,5
3495,2000,8
3497,2000,8
3498,2000,6
3509,2000,5
3510,2000,8
3512,2000,10
3520,2000,4
3522,2000,2
3525,2000,4
3529,2000,5
3530,2000,9
3534,2000,6
3549,2000,9
3552,2000,10
3554,2000,5
3562,2000,10
3565,2000,10
3571,2000,10
3575,2000,4
3587,2000,9
3591,2000,7
3593,2000,7
3594,2000,8
3601,2000,10
3602,2000,7
3604,1990,8
3609,1990,7
3615,1990,5
3619,1990,5
3620,1990,5
3621,1990,7
3623,1990,7
3633,1990,6
3636,1990,8
3640,1990,8
3645,1990,10
3649,1990,5
3650,1990,7
3653,1990,9
3671,2000,9
3674,2000,9
3678,2000,5
3679,2000,10
3681,2000,7
3682,2000,10
3688,2000,10
3695,2000,7
3698,2000,9
3709,2000,7
3710,2000,6
3711,2000,10
3717,2000,9
3719,2000,9
3720,2000,10
3731,2000,9
3740,2000,5
3741,2000,7
3742,2000,7
3743,2000,9
3744,2000,10
3747,2000,8
3748,2000,10
3750,2000,8
3755,1990,9
3759,1990,10
3769,1990,10
3772,1990,9
3777,1990,6
3787,1990,9
3791,1990,8
3795,1990,10
3796,1990,9
3801,1990,7
3803,1990,10
3822,1990,9
3824,1990,8
3831,1990,5
3836,1990,6
3837,1990,7
3842,1990,10
3852,1990,10
3858,1990,8
3866,1990,10
3869,1990,4
3872,1990,9
3875,1990,9
3878,1990,8
3882,1990,6
3883,1990,7
3890,1990,9
3900,1990,8
3906,1990,7
3909,1990,8
3913,1990,7
3916,1990,6
3919,1990,10
3925,1990,8
3931,1990,8
3932,1990,8
3939,1990,9
3954,1990,8
3956,1990,9
3961,1990,8
3963,1990,10
3965,1990,6
3970,1990,8
3971,1990,8
3977,1990,7
3991,1990,9
3996,1990,7
3997,1990,8
3998,1990,6
4005,1990,6
4006,1990,8
4007,1990,8
4008,1990,8
4013,1990,10
4017,1990,8
4019,1990,8
4021,1990,5
4023,1990,7
4025,1990,9
4026,1990,9
4027,1990,6
4049,1990,9
4057,1990,10
4059,1990,9
4062,1990,5
4072,1990,6
4073,1990,9
4079,1980,10
4090,1980,10
4095,1990,7
4100,1990,10
4106,1990,10
4119,1980,7
4126,1980,10
4136,1980,8
4140,1980,7
4143,1980,10
4146,1980,9
4147,1980,9
4148,1980,10
4157,1980,8
4158,1980,9
4163,1980,9
4171,1990,9
4174,1990,10
4177,1990,7
4181,1990,9
4184,1990,9
4186,1990,6
4195,1970,7
4202,1980,7
4208,1990,6
4210,1990,5
4213,1990,8
4240,1990,8
4258,1990,7
4263,1990,6
4271,1990,8
4274,1990,7
4280,1990,10
4282,1990,9
4283,1990,9
4284,1990,2
4288,1990,5
4298,1990,9
4304,1990,8
4309,1990,5
4313,1990,8
4319,1990,9
4324,1990,5
4340,1990,8
4350,1990,9
4352,1990,10
4357,1990,9
4361,1990,7
4378,1990,6
4385,1990,9
4387,1990,9
4391,1990,9
4392,1990,5
4404,1990,10
4409,1990,9
4413,1990,10
4414,1990,9
4419,1990,8
4420,1990,7
4421,1990,7
4430,1990,9
4434,1990,8
4437,1990,7
4443,1990,5
4444,1990,8
4450,1990,8
4451,1990,10
4454,1990,10
4455,1990,10
4456,1990,10
4459,1990,8
4462,1990,9
4466,1990,6
4479,1990,6
4483,1990,9
4486,1990,7
4487,1990,8
4491,1990,10
4496,1990,8
4503,1990,7
4514,1990,8
4525,1990,8
4531,1990,7
4535,1990,4
4537,1990,8
4541,1990,7
4543,1990,6
4546,1990,10
4548,1990,10
4550,1990,9
4558,1990,9
4559,1990,9
4560,1990,9
4563,1990,8
4565,1990,7
4570,1990,8
4575,1990,10
4589,1990,10
4592,1990,8
4595,1990,8
4602,1990,10
4603,1990,9
4605,1990,8
4612,1990,9
4613,1990,9
4620,1990,8
4626,1990,10
4627,1990,5
4629,1990,8
4630,1990,9
4633,1990,8
4642,1990,10
4645,1990,9
4654,1990,8
4655,1990,8
4663,1990,8
4668,1990,8
4676,1990,8
4677,1990,10
4678,1990,7
4684,1990,8
4688,1990,9
4689,1990,7
4699,1990,10
4707,1990,8
4708,1990,8
4712,1990,8
4715,1990,8
4718,2000,10
4723,2000,7
4725,2000,8
4726,2000,9
4727,2000,6
4731,2000,8
4732,2000,7
4733,2000,6
4736,1980,10
4740,1980,10
4743,1980,8
4744,1980,10
4745,1980,10
4746,1980,7
4749,1980,8
4750,1980,10
4754,1980,5
4758,1980,6
4759,1980,5
4762,1980,8
4764,1980,8
4765,1980,9
4769,1980,7
4770,1980,8
4776,1980,7
4779,1980,10
4786,1980,5
4788,1980,10
4789,1980,8
4790,1980,8
4791,1980,8
4797,1980,7
4798,1980,9
4805,1980,7
4807,1980,8
4809,1980,8
4810,1980,10
4812,1980,8
4813,1980,10
4819,1980,10
4828,1980,9
4829,1980,10
4830,1980,9
4832,1980,5
4833,1980,10
4834,1980,10
4837,1980,9
4838,1980,10
4846,1980,10
4851,1980,10
4855,1980,3
4856,1980,7
4860,1980,8
4863,1980,9
4872,2000,7
4878,2000,8
4879,2000,8
4880,2000,10
4884,2000,9
4885,2000,10
4903,2000,4
4908,2000,6
4913,2000,7
4915,2000,10
4920,2000,9
4921,2000,9
4928,2000,8
4932,2000,6
4937,2000,10
4942,2000,9
4943,2000,8
4947,2000,9
4961,2000,10
4965,2000,10
4966,2000,7
4970,2000,10
4973,2000,9
4978,2000,10
4986,2000,8
4989,2000,8
4991,2000,7
4994,2000,7
4995,2000,10
4997,2000,5
5002,2000,7
5003,2000,9
5005,2000,9
5007,2000,10
5008,2000,10
5010,2000,10
5012,2000,10
5015,2000,9
5016,2000,10
5021,2000,7
5024,2000,8
5026,2000,8
5030,2000,8
5031,2000,9
5036,1990,5
5038,1990,9
5039,1990,10
5040,1990,7
5050,1990,10
5053,1990,9
5054,1990,6
5055,1990,9
5056,1990,8
5064,1990,8
5065,1990,7
5074,1990,4
5076,1990,8
5082,1990,10
5088,1990,7
5089,1990,7
5091,1990,9
5099,1990,9
5100,1990,9
5102,1990,5
5106,1990,8
5107,1990,8
5108,1980,8
5110,1980,7
5116,1980,8
5122,1980,8
5135,1980,10
5139,1980,4
5148,2000,7
5150,2000,10
5157,2000,8
5158,2000,6
5166,2000,8
5169,1990,7
5170,1990,7
5171,1990,7
5176,1990,9
5178,1990,5
5194,1990,10
5195,1990,9
5201,1990,7
5202,1990,6
5208,1990,8
5211,1990,8
5212,1990,8
5221,1990,7
5222,1990,10
5225,1990,8
5226,1990,8
5227,1990,9
5230,1990,5
5232,1990,7
5238,1990,7
5240,1990,10
5243,1990,5
5247,1990,8
5249,1990,7
5251,1990,9
5255,1990,8
5258,1990,6
5260,1990,8
5267,1990,10
5270,1990,10
5279,1990,10
5285,1990,6
5286,1990,7
5288,1990,7
5291,1990,10
5296,1990,7
5298,1990,7
5304,1990,9
5306,1990,8
5311,1990,9
5316,1990,7
5317,1990,6
5323,1990,8
5326,1990,7
5327,1990,10
5331,1990,8
5333,1990,3
5335,1990,10
5340,1990,7
5347,1990,8
5353,1990,8
5357,1990,8
5358,1990,5
5362,1990,5
5366,1990,9
5368,1990,9
5369,1990,8
5372,1990,10
5373,1990,8
5375,1990,10
5377,1990,8
5394,1990,9
5397,1990,9
5398,1990,8
5399,1990,8
5401,1990,10
5404,1990,9
5408,1990,8
5412,1990,8
5415,1990,9
5416,1990,5
5423,1990,8
5435,1990,6
5436,1990,8
5437,1990,10
5446,1990,5
5447,1990,8
5448,1990,6
5455,1990,10
5456,1990,10
5462,1990,7
5474,1990,6
5480,1990,9
5481,1990,7
5489,1990,7
5490,1990,8
5507,1990,7
5509,1990,7
5510,1990,7
5511,1990,8
5514,1990,9
5518,1990,8
5525,1990,10
5529,1990,8
5541,1990,9
5544,1990,10
5558,2000,8
5562,2000,10
5564,2000,10
5565,2000,7
5568,2000,8
5572,2000,8
5576,2000,8
5578,2000,8
5583,2000,9
5584,2000,8
5585,2000,5
5587,2000,8
5590,2000,8
5594,2000,7
5598,2000,8
5601,2000,8
5603,2000,5
5608,2000,6
5609,1980,6
5610,2000,10
5611,2000,10
5615,2000,5
5616,2000,3
5617,2000,9
5621,2000,10
5624,2000,7
5625,2000,6
5626,2000,7
5627,2000,10
5628,2000,10
5629,2000,8
5632,2000,7
5633,2000,9
5638,2000,9
5640,2000,10
5643,2000,5
5644,2000,10
5645,2000,10
5646,2000,10
5650,2000,7
5653,2000,10
5654,2000,10
5655,2000,10
5656,2000,9
5657,2000,9
5660,2000,6
5661,2000,10
5662,2000,1
5663,2000,8
5664,2000,8
5665,1990,3
5668,1990,9
5669,1990,8
5671,1990,10
5672,1990,10
5677,1990,9
5680,1990,9
5686,1990,9
5689,1990,10
5699,1990,10
5700,1990,5
5701,1990,10
5708,1990,10
5711,1990,7
5715,1990,8
5719,1990,10
5725,1990,7
5730,1990,6
5733,1990,7
5736,1990,7
5737,1990,7
5739,1990,10
5744,1990,10
5747,1990,9
5748,1990,8
5754,1990,9
5756,1990,8
5760,1990,9
5767,1990,7
5770,1990,7
5776,1990,9
5777,1990,6
5779,1990,7
5782,1990,8
5784,1990,5
5788,1990,9
5789,1990,9
5792,1990,10
5800,1990,7
5808,1990,9
5809,1990,10
5823,1990,9
5824,1990,7
5825,1980,10
5826,1980,1
5828,1990,10
5830,1990,7
5834,1990,9
5839,1990,6
5845,1990,6
5846,1990,7
5849,1990,9
5859,1990,8
5860,1990,9
5871,1990,8
5873,1990,8
5874,1990,5
5877,1990,9
5878,1990,8
5885,1990,3
5896,1990,10
5900,1990,9
5909,1990,10
5934,2000,10
5938,2000,6
5940,2000,10
5943,2000,7
5946,2000,10
5949,2000,7
5950,2000,2
5951,2000,9
5954,2000,9
5955,2000,6
5956,2000,10
5957,2000,8
5958,2000,10
5960,2000,7
5961,2000,6
5964,2000,9
5965,2000,7
5966,2000,9
5968,2000,9
5971,2000,6
5974,2000,9
5975,2000,10
5976,2000,7
5978,2000,9
5983,2000,6
5988,2000,10
5989,2000,7
5991,2000,10
5992,2000,10
5994,2000,4
5995,2000,10
5996,2000,8
5998,2000,5
5999,2000,9
6000,2000,8
6002,2000,4
6009,2000,10
6010,2000,5
6014,2000,8
6018,2000,8
6021,2000,9
6024,2000,8
6028,2000,10
6031,2000,9
6032,2000,6
6033,2000,10
6034,2000,10
6037,2000,8
6039,2000,10
6041,2000,10
6044,2000,9
6047,2000,8
6049,2000,9
6052,2000,8
6053,2000,8
6054,2000,9
6056,2000,9
6060,2000,7
6063,2000,10
6065,2000,10
6068,2000,3
6069,2000,8
6071,2000,8
6072,2000,7
6074,2000,10
6076,2000,6
6077,2000,10
6080,2000,10
6082,2000,10
6086,2000,4
6088,2000,10
6089,2000,7
6090,2000,10
6091,2000,3
6092,2000,8
6093,2000,10
6095,2000,10
6096,2000,10
6100,2000,8
6101,2000,10
6103,2000,7
6104,2000,8
6106,2000,7
6107,2000,7
6110,2000,7
6111,2000,10
6114,2000,5
6116,2000,10
6117,2000,10
6120,2000,6
6121,2000,10
6122,2000,7
6125,2000,10
6128,2000,6
6129,2000,8
6134,2000,9
6136,2000,10
6139,2000,10
6142,2000,10
6144,2000,8
6145,2000,7
6146,2000,8
6148,2000,9
6153,2000,8
6154,2000,8
6155,2000,8
6158,2000,10
6159,2000,9
6161,2000,4
6162,2000,9
6164,2000,6
6168,2000,10
6169,2000,9
6170,2000,9
6171,2000,7
6174,2000,10
6177,2000,7
6178,2000,7
6179,2000,6
6182,2000,8
6183,2000,8
6185,2000,10
6186,2000,9
6188,2000,8
6189,2000,5
6195,2000,6
6196,2000,8
6197,2000,10
6199,2000,10
6200,2000,9
6203,2000,7
6204,2000,7
6207,2000,9
6210,2000,6
6212,2000,6
6213,2000,6
6215,2000,10
6217,2000,9
6218,2000,10
6220,2000,8
6224,2000,3
6226,2000,8
6227,2000,7
6231,2000,8
6234,2000,10
6235,2000,5
6238,2000,8
6239,2000,5
6241,2000,9
6242,2000,7
6245,2000,10
6248,2000,5
6250,2000,10
6251,2000,10
6252,2000,10
6255,2000,9
6257,2000,6
6258,2000,7
6263,2000,10
6265,2000,9
6268,2000,5
6270,2000,8
6272,2000,8
6274,2000,7
6276,2000,9
6278,2000,10
6279,2000,9
6281,2000,5
6282,2000,10
6283,2000,7
6289,2000,9
6290,2000,6
6291,2000,5
6292,2000,8
6293,2000,6
6294,2000,10
6297,2000,9
6298,1990,5
6299,1990,3
6300,1990,7
6305,1990,6
6307,1990,7
6312,1990,6
6315,1990,7
6317,2000,9
6319,2000,7
6331,2000,7
6338,2000,10
6339,2000,5
6342,2000,7
6349,2000,8
6365,2000,8
6368,2000,10
6372,2000,8
6376,2000,7
6380,2000,5
6384,2000,9
6385,2000,5
6386,2000,7
6389,2000,8
6393,2000,7
6398,2000,9
6400,2000,9
6404,2000,7
6406,2000,8
6411,2000,3
6413,2000,9
6415,2000,7
6417,2000,6
6419,2000,9
6421,2000,7
6422,2000,9
6423,2000,8
6426,2000,7
6429,2000,10
6435,2000,9
6438,2000,9
6440,2000,5
6441,2000,7
6442,2000,8
6445,2000,9
6446,2000,8
6447,2000,10
6450,2000,8
6456,2000,9
6466,2000,9
6469,2000,9
6470,2000,9
6477,2000,8
6480,2000,10
6484,2000,8
6485,2000,9
6492,2000,8
6495,2000,7
6500,2000,9
6501,2000,9
6509,2000,7
6510,2000,10
6514,2000,5
6518,2000,9
6521,2000,9
6522,2000,7
6526,2000,8
6528,2000,10
6530,2000,9
6532,2000,7
6538,2000,5
6541,2000,8
6542,2000,9
6550,2000,7
6551,2000,8
6556,2000,10
6562,2000,8
6563,2000,6
6570,2000,8
6576,2000,8
6577,2000,9
6592,2000,9
6598,2000,10
6604,2000,6
6607,2000,7
6610,2000,10
6619,2000,8
6627,2000,10
6630,2000,5
6636,2000,5
6637,2000,8
6644,2000,7
6648,2000,7
6653,2000,6
6661,2000,9
6662,2000,8
6664,2000,8
6665,2000,9
6666,2000,9
6672,2000,6
6678,2000,4
6682,2000,7
6683,2000,7
6684,2000,10
6686,2000,7
6688,2000,9
6689,2000,7
6692,2000,6
6693,2000,7
6695,2000,7
6698,2000,10
6700,2000,4
6704,2000,5
6705,2000,6
6708,2000,9
6712,2000,10
6713,2000,7
6716,2000,8
6717,2000,5
6718,2000,10
6720,2000,7
6723,2000,10
6725,2000,10
6726,2000,8
6727,2000,9
6728,2000,8
6733,2000,10
6736,2000,8
6741,2000,8
6742,2000,9
6744,2000,8
6748,2000,10
6749,2000,9
6755,2000,9
6759,2000,10
6760,2000,9
6763,2000,10
6766,2000,8
6769,2000,9
6771,2000,7
6772,2000,8
6777,2000,10
6783,2000,7
6785,2000,9
6786,2000,10
6788,2000,5
6791,2000,7
6797,2000,8
6798,2000,9
6800,2000,10
6801,2000,8
6804,2000,7
6808,2000,8
6811,2000,8
6813,2000,10
6818,2000,8
6819,2000,6
6821,2000,8
6823,2000,9
6826,2000,8
6829,2000,5
6832,2000,10
6836,2000,7
6837,2000,8
6839,2000,5
6842,2000,9
6843,2000,10
6844,2000,8
6846,2000,10
6847,2000,8
6851,2000,10
6852,2000,9
6853,2000,7
6855,2000,5
6856,2000,10
6860,2000,8
6861,2000,10
